PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-11,18:32:04.87,1,1,"Haynes, Kevin",1000113336,Right,VAL_BLU,"Rappoli, Reece",1000127204,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.82695,-3.427478,-3.241374,2296.475054,196.443311,12:30,6.32697,2.14328,6.01708,-14.74965,19.31324,5.35622,1.91404,-0.41608,82.63675,-6.2548,-2.28012,0.420061,,,,,,,,,,,,-3.69508,11.27194,-1.89182,50,6.04949,7.21575,-131.46806,-8.28306,-6.43207,29.27713,-12.55278,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,5253f5b0-e9d6-11ec-addb-6b8d15fbfe87,89.7309,,,8.1902,,,,,,,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:32:04.87,2022-06-11T18:32:04.8713226-04:00,2022-06-11T22:32:04.8713226Z,,v3,,,,"Melnick, Danny",1000079836,Right,VAL_BLU,1b9dcaf2-28d5-4480-b10e-91d6306280e9,54.48039,-132.46205,14.63857,6.32347,-7.85688,-6.27639,-2.14051,7.43412,-3.21604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-11,18:32:20.14,1,2,"Haynes, Kevin",1000113336,Right,VAL_BLU,"Rappoli, Reece",1000127204,Right,NSH_N,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.90746,-3.777433,-3.386311,2057.857294,217.4503,1:15,6.36566,2.02904,5.7469,-17.39178,16.91749,12.07083,1.38819,-0.12148,82.92099,-7.05533,-1.229652,0.421577,,,,,,,,,,,,-7.11351,10.04359,-1.75483,50,6.04032,7.25207,-131.51372,-9.23934,-12.42067,28.68144,-14.63724,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,5b706b10-e9d6-11ec-addb-6b8d15fbfe87,89.40811,,,7.98647,,,,,,,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:32:20.14,2022-06-11T18:32:20.1497098-04:00,2022-06-11T22:32:20.1497098Z,,v3,,,,"Melnick, Danny",1000079836,Right,VAL_BLU,213d68d6-eb7c-4ae4-a9af-0b8866d68b8d,54.75191,-132.546,14.34072,6.36337,-8.71253,-7.31862,-2.02388,7.69911,-6.21033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-11,18:32:38.76,1,3,"Haynes, Kevin",1000113336,Right,VAL_BLU,"Rappoli, Reece",1000127204,Right,NSH_N,Undefined,1,Top,0,1,1,ChangeUp,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,78.4027,0.100848,-1.666351,1792.159276,3.272235,6:00,6.47731,1.85181,5.30217,-55.35609,-7.95599,-0.55492,1.95902,0.24078,70.99174,-9.954834,-1.765117,0.49552,29.77779,24.952647,-78.592835,3548.16264,,,,57.34486,51.29257,-73.976048,1.586431,-0.29217,-3.56646,-1.69996,50,6.44608,3.32666,-113.59051,-1.73178,-0.37328,25.08889,-36.73093,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,6699c770-e9d6-11ec-addb-6b8d15fbfe87,76.06646,8.67846,,7.41097,,,,2.221,2.09908,-0.26555,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:32:38.76,2022-06-11T18:32:38.7674634-04:00,2022-06-11T22:32:38.7674634Z,GroundBall,v3,,,,"Melnick, Danny",1000079836,Right,VAL_BLU,b3274e3f-8e40-49c3-a697-fabf5a0e97b2,55.19758,-114.73276,12.54445,6.48686,-0.05949,-18.36546,-1.85181,3.34365,-0.18664,,2.221,7.83144,0.76534,-0.24715,0.12487,-0.14214,0.0969,-0.03389,0.00485,2.09908,18.42346,-13.33992,0.45132,0.59614,-0.7768,0.48064,-0.16237,0.02293,-0.26556,-38.81584,4.17142,-1.28251,0.69859,-0.79495,0.53924,-0.18845,0.02698,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
4,2022-06-11,18:33:00.84,1,4,"Haynes, Kevin",1000113336,Right,VAL_BLU,"Rappoli, Reece",1000127204,Right,NSH_N,Undefined,1,Top,0,1,2,ChangeUp,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.64766,-0.36596,-1.537879,2405.327672,10.568443,6:15,6.49007,1.76349,5.13375,-48.58739,-4.67095,-1.17169,2.09636,0.21724,73.89628,-9.180728,-1.745671,0.476963,,,,,,,,,,,,0.06591,-1.69374,-1.61828,50,6.41843,3.225,-118.24036,-2.56512,0.09151,26.61215,-34.52552,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,73a63bb0-e9d6-11ec-addb-6b8d15fbfe87,79.02587,,,7.75138,,,,,,,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:33:00.84,2022-06-11T18:33:00.8426506-04:00,2022-06-11T22:33:00.8426506Z,,v3,,,,"Melnick, Danny",1000079836,Right,VAL_BLU,a0af1f94-b8e5-4a95-8e9b-21cdf19f57bd,55.36389,-119.4415,13.30607,6.49904,-1.00681,-17.26276,-1.76375,3.22087,0.04575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.93121,,,0.975488,,,,0.75225,5.30679,-3.88295,70.32788,5.23838,-54.45565,0.78457,74.99722,-3.78381,5.36138,13.82476,-14.27249,-3.96673,-57.95566,6.31304,High,High,High,,,High,High,High
5,2022-06-11,18:33:35.80,2,1,"Haynes, Kevin",1000113336,Right,VAL_BLU,"Cassella, Justin",1000099697,Right,NSH_N,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.82679,-2.84218,-2.676253,2095.389581,222.35018,1:30,6.28634,1.92856,6.02832,-17.10761,16.86009,14.31485,2.22348,0.64115,82.63113,-6.097974,-0.102546,0.419473,70.69737,-13.495928,6.58472,,,,,9.59852,7.88799,1.955401,0.085736,-8.14886,9.85504,-1.72687,50,6.05445,5.54585,-131.6442,-7.04154,-14.21748,29.45479,-14.97975,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,888678b0-e9d6-11ec-addb-6b8d15fbfe87,89.85656,2.08049,,8.19566,,,,0.98153,2.08049,-0.66653,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:33:35.80,2022-06-11T18:33:35.8095882-04:00,2022-06-11T22:33:35.8095882Z,GroundBall,v3,,,,"Melnick, Danny",1000079836,Right,VAL_BLU,de52103a-0194-46c0-b973-8be36083ee11,54.47058,-132.6407,14.7274,6.2841,-6.53475,-7.48988,-1.92263,6.02685,-7.10874,180,0.97767,100.44089,,,,,,,,2.08142,-24.26625,,,,,,,,-0.66698,11.59426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2022-06-11,18:34:12.48,3,1,"Haynes, Kevin",1000113336,Right,VAL_BLU,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,2,0,0,ChangeUp,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,80.28222,-2.403383,-2.853863,2184.979256,10.076328,6:15,6.35079,2.07756,5.38887,-50.2881,-5.53024,-1.25016,-0.09663,-0.70369,73.75351,-11.466873,-3.076717,0.481511,,,,,,,,,,,,-0.2563,-1.70201,-1.82147,50,6.09985,5.84487,-116.26715,-6.63465,-0.34665,24.22281,-34.47608,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,9e60f430-e9d6-11ec-addb-6b8d15fbfe87,78.27953,,,6.52871,,,,,,,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:34:12.48,2022-06-11T18:34:12.4839946-04:00,2022-06-11T22:34:12.4839946Z,,v3,,,,"Melnick, Danny",1000079836,Right,VAL_BLU,10755917-4c58-40af-9a6c-76cfa0874a8e,55.11264,-117.32747,12.1114,6.35725,-5.12551,-17.23804,-2.07765,5.86005,-0.17333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-06-11,18:34:37.82,3,2,"Haynes, Kevin",1000113336,Right,VAL_BLU,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,2,1,0,ChangeUp,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.18953,-0.561993,-1.799177,2054.26505,10.965494,6:15,6.45319,1.83086,5.01601,-52.17538,-4.50339,-1.18441,1.57457,0.03357,71.56959,-9.967689,-2.008822,0.496939,,,,,,,,,,,,0.03492,-1.58213,-1.65737,50,6.3572,3.60846,-113.32617,-2.99207,0.04496,22.64186,-34.21098,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,ad7f7f90-e9d6-11ec-addb-6b8d15fbfe87,75.84922,,,6.61994,,,,,,,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:34:37.82,2022-06-11T18:34:37.8206218-04:00,2022-06-11T22:34:37.8206218Z,,v3,,,,"Melnick, Danny",1000079836,Right,VAL_BLU,888e75a5-e67a-479c-8072-259fc3b39069,55.48374,-114.41654,11.32093,6.46161,-1.34456,-17.10549,-1.83109,3.60629,0.02248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-11,18:34:55.76,3,3,"Haynes, Kevin",1000113336,Right,VAL_BLU,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,,92.38185,-5.148843,-2.312344,2157.271528,203.084256,12:45,6.20478,1.83951,6.27233,-13.15851,19.5471,7.84697,0.34506,0.36063,84.11953,-7.684236,-0.894998,0.411607,,,,,,,,,,,,-4.77862,12.04146,-1.67226,50,5.81637,5.07264,-133.60811,-12.38001,-8.58066,30.56762,-10.552,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,b8255410-e9d6-11ec-addb-6b8d15fbfe87,91.57388,,,8.26232,,,,,,,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:34:55.76,2022-06-11T18:34:55.7686282-04:00,2022-06-11T22:34:55.7686282Z,,v3,,,,"Melnick, Danny",1000079836,Right,VAL_BLU,708fa4e0-3463-47c5-9485-b6b115c79dc0,54.22693,-134.57169,15.28381,6.20139,-12.04738,-5.276,-1.83643,5.34313,-4.29033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-11,18:35:17.48,3,4,"Haynes, Kevin",1000113336,Right,VAL_BLU,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,2,2,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.57422,0.092792,-2.328308,1672.655213,15.158474,6:30,6.51764,1.77194,5.34544,-49.16365,-0.46213,-0.53831,2.50779,-0.45815,70.49551,-8.838958,-2.423995,0.502276,88.90222,-55.440439,32.321496,,,,,3.05122,1.46811,26.719031,0.023277,-0.38476,0.1765,-1.56166,50,6.49063,4.53809,-111.10629,-1.4574,-0.48033,20.13931,-31.95369,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,c521e9d0-e9d6-11ec-addb-6b8d15fbfe87,75.04325,2.50519,,6.07871,,,,1.26718,2.50519,0.44925,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:35:17.48,2022-06-11T18:35:17.4877706-04:00,2022-06-11T22:35:17.4877706Z,GroundBall,v3,,,,"Melnick, Danny",1000079836,Right,VAL_BLU,5cd9bc3f-9018-4267-8bab-e91eacfaa139,55.15511,-112.03682,10.06966,6.52387,0.01901,-15.97685,-1.77185,4.56028,-0.24017,,1.26664,62.64772,,,,,,,,2.50611,-107.62569,,,,,,,,0.44891,39.63715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2022-06-11,18:38:07.66,1,1,"Tringale, Todd",1000132326,Right,NSH_N,"Sherwin, Anthony",1000121573,Left,VAL_BLU,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.46921,-0.053226,-3.740851,2249.952289,242.352594,2:00,5.16312,2.47567,6.23499,-24.78647,11.79918,20.01777,3.04837,0.68795,78.8381,-4.750912,-0.132943,0.435338,,,,,,,,,,,,-11.45587,6.5126,-2.20533,50,5.14698,7.46178,-126.75129,-0.85868,-18.38676,29.15241,-21.72131,VAL_BLU,NSH_N,MackenzieStadium,NECBL,NECL,20220611-MackenzieStadium-1,2a8989e0-e9d7-11ec-addb-6b8d15fbfe87,86.58199,,,8.63111,,,,,,,4eb438d8-bc8f-4fca-8d3d-42a6c625b2f8,2022-06-11,22:38:07.66,2022-06-11T18:38:07.6644874-04:00,2022-06-11T22:38:07.6644874Z,,v3,,,,"Gervasi, Mike",1000078919,Right,NSH_N,c1c56c2a-8213-4586-959d-e57ccc8285a3,54.26244,-127.72787,14.57621,5.16356,-0.13103,-10.86065,-2.46562,8.07773,-9.19338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
