PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-14,18:40:06.34,1,1,"Bosecker, Cory",1000078630,Left,NOR_ADA,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.80419,-0.414012,2.998261,2370.824982,138.795183,10:45,5.62921,-2.22952,6.35608,-20.77119,12.22481,-9.87981,3.51672,-0.29093,83.72454,-4.329587,1.212457,0.41343,,,,,,,,,,,,5.87063,6.77099,2.0165,50,5.58927,-6.51206,-131.97413,-1.58088,10.46085,25.3681,-20.10885,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,f08216a0-ec32-11ec-8166-274aeec4003e,91.17002,,,7.07965,,,,,,,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:40:06.34,2022-06-14T18:40:06.3428096-04:00,2022-06-14T22:40:06.3428096Z,,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,6aead5dd-ab5d-4ccc-8005-7387a0283af0,54.14025,-132.76759,12.68405,5.62888,-0.95192,-10.05442,2.2253,-6.83926,5.23043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-14,18:40:24.10,1,2,"Bosecker, Cory",1000078630,Left,NOR_ADA,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.42679,-2.066665,2.227147,2408.374711,138.852755,10:45,5.44771,-2.21299,6.75019,-17.74481,13.80686,-11.22146,2.07893,-1.11269,84.86453,-5.456303,0.180858,0.40428,,,,,,,,,,,,6.50189,8.15256,2.07057,50,5.30498,-4.78528,-134.33916,-5.32593,11.92347,28.14725,-17.22345,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,fb174950-ec32-11ec-8166-274aeec4003e,93.23342,,,7.56226,,,,,,,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:40:24.10,2022-06-14T18:40:24.1059840-04:00,2022-06-14T22:40:24.1059840Z,,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,c6ad24a5-e947-4474-a00a-032bbc868c90,53.7457,-135.1217,14.07363,5.44639,-4.84709,-8.61173,2.20821,-5.11677,5.96174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-14,18:40:40.04,1,3,"Bosecker, Cory",1000078630,Left,NOR_ADA,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.88544,-1.3018,1.9848,2395.552991,137.642446,10:30,5.56496,-2.14105,6.5512,-17.49395,15.06804,-12.71312,2.91256,-1.37983,83.21533,-4.66973,-0.324906,0.410702,,,,,,,,,,,,7.21225,8.6191,2.00857,50,5.46735,-4.09794,-133.40703,-3.49787,12.86733,31.38862,-16.79679,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,04993740-ec33-11ec-8166-274aeec4003e,91.77563,,,8.67011,,,,,,,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:40:40.04,2022-06-14T18:40:40.0410624-04:00,2022-06-14T22:40:40.0410624Z,,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,be2ac80f-1eeb-48e2-952f-13fd874f55d8,53.9422,-134.33136,15.69431,5.56307,-3.00324,-8.3984,2.13483,-4.47686,6.43366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-14,18:40:56.96,1,4,"Bosecker, Cory",1000078630,Left,NOR_ADA,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.98664,-1.625988,2.73254,2451.358843,138.451005,10:30,5.59774,-1.90668,6.62949,-15.30965,16.96871,-14.08497,2.83115,-0.57672,83.64097,-4.592353,0.171885,0.408909,,,,,,,,,,,,8.14705,9.70319,1.72651,50,5.48087,-5.80269,-133.5507,-4.16908,14.63868,30.13799,-14.73931,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,0eac1a90-ec33-11ec-8166-274aeec4003e,92.17798,,,8.34567,,,,,,,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:40:56.96,2022-06-14T18:40:56.9625600-04:00,2022-06-14T22:40:56.9625600Z,,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,6b0c91e6-e7a1-475f-aa0b-a36a280bab89,53.86501,-134.42008,15.069,5.595,-3.7439,-7.36966,1.89999,-6.22496,7.31934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-06-14,18:41:17.85,1,5,"Bosecker, Cory",1000078630,Left,NOR_ADA,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.81043,-0.338527,1.503549,2353.508534,138.352594,10:30,5.62095,-1.84589,6.66642,-19.423,12.60552,-10.3506,3.69254,-1.33251,84.17647,-4.041051,-0.3814,0.407324,,,,,,,,,,,,5.82981,7.03402,1.74866,50,5.59021,-3.09628,-133.55535,-1.33093,10.56333,27.90284,-19.42867,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,1b194190-ec33-11ec-8166-274aeec4003e,92.53681,,,7.63396,,,,,,,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:41:17.85,2022-06-14T18:41:17.8512384-04:00,2022-06-14T22:41:17.8512384Z,,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,ee8dd1c0-de96-43d4-baa1-0c9007a81132,53.82917,-134.35297,13.95142,5.62032,-0.77554,-9.71434,1.84149,-3.39824,5.28167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-14,18:41:33.94,1,6,"Bosecker, Cory",1000078630,Left,NOR_ADA,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.01737,-2.2631,3.102851,2401.66267,140.85772,10:45,5.60866,-1.8223,6.81913,-17.58387,15.15788,-11.45418,2.07471,0.05653,82.9485,-5.647367,1.013769,0.411834,89.84703,7.531609,-2.270519,1390.213599,109.99594,8.23434,-0.89403,181.23947,176.27915,0.833773,1.627038,6.97918,9.02721,1.6262,50,5.45598,-6.72925,-132.12,-5.67085,12.27714,29.40689,-16.29417,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,24bfa770-ec33-11ec-8166-274aeec4003e,91.52337,8.5642,,8.06886,,,,0.85437,2.05748,-0.06505,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:41:33.94,2022-06-14T18:41:33.9401728-04:00,2022-06-14T22:41:33.9401728Z,GroundBall,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,84fc29bb-2a77-48d9-b8cd-1e2f8948512a,53.67674,-132.93584,14.70344,5.60703,-5.2188,-8.14709,1.81761,-7.06986,6.13857,214.857445,0.85437,130.5366,-16.1224,3.244,-0.56654,0.0329,0.03476,-0.0161,0.00248,2.05749,17.27081,-11.46063,0.0014,-0.07919,0.17809,-0.12542,0.04439,-0.00638,-0.06506,-5.17517,5.32907,-0.88344,0.17878,-0.07755,0.04177,-0.01388,0.00195,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2022-06-14,18:42:17.60,2,1,"Bosecker, Cory",1000078630,Left,NOR_ADA,"Rappoli, Reece",1000127204,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,91.34057,-1.524173,2.653555,2381.463756,134.383864,10:30,5.49635,-2.17507,6.50167,-19.72418,12.89965,-12.15957,2.45196,-0.75122,83.81817,-5.264951,0.447666,0.411092,,,,,,,,,,,,7.08398,7.47953,1.99448,50,5.38094,-5.67047,-132.7215,-4.10477,12.67719,27.5325,-18.78904,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,3ec88a60-ec33-11ec-8166-274aeec4003e,91.6886,,,7.5224,,,,,,,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:42:17.60,2022-06-14T18:42:17.6076288-04:00,2022-06-14T22:42:17.6076288Z,,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,1fa5ca28-f3e7-4b55-9331-65e80e899dfc,53.995,-133.54767,13.76625,5.49566,-3.54096,-9.39452,2.17034,-6.05087,6.33859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-14,18:42:52.15,2,2,"Bosecker, Cory",1000078630,Left,NOR_ADA,"Rappoli, Reece",1000127204,Right,NSH_N,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.41599,-1.313721,2.375801,2355.730392,141.995137,10:45,5.57395,-2.104,6.72428,-18.34434,15.00985,-10.84422,2.84339,-0.83518,82.06432,-4.846995,0.399994,0.415668,72.82651,11.470654,79.337732,4100.987095,,,,128.35854,56.63083,82.898284,1.459484,6.43091,8.65965,1.95079,50,5.47976,-5.02921,-131.31724,-3.48395,11.13365,30.02139,-17.18188,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,53574c00-ec33-11ec-8166-274aeec4003e,90.67918,9.25921,,8.35167,,,,-0.4003,2.44087,0.94154,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:42:52.15,2022-06-14T18:42:52.1572352-04:00,2022-06-14T22:42:52.1572352Z,GroundBall,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,6e5ff3a2-baeb-45a3-9adc-3eb552968efb,53.77051,-132.17643,15.0107,5.57243,-2.99222,-8.59094,2.09928,-5.34784,5.56682,,-0.4003,19.36759,-6.97308,1.19994,-0.24644,0.04661,-0.00844,0.00137,-0.00012,2.44087,21.24128,-17.37322,1.42324,-0.25698,0.05779,-0.00978,0.00145,-0.00014,0.94154,102.87136,-13.28907,1.93581,-0.39523,0.07205,-0.01334,0.00222,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2022-06-14,18:43:14.80,2,3,"Bosecker, Cory",1000078630,Left,NOR_ADA,"Rappoli, Reece",1000127204,Right,NSH_N,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.16575,-2.050407,1.606886,2396.549165,141.209918,10:45,5.52295,-1.96059,6.68323,-17.62025,14.31146,-10.68473,2.17771,-1.38091,84.28005,-5.422797,-0.34005,0.406708,,,,,,,,,,,,6.08382,8.44099,1.85714,50,5.37881,-3.33993,-133.95007,-5.26949,11.03725,29.33137,-16.86043,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,60ddf950-ec33-11ec-8166-274aeec4003e,92.67697,,,7.88571,,,,,,,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:43:14.80,2022-06-14T18:43:14.8046848-04:00,2022-06-14T22:43:14.8046848Z,,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,28c5856a-93d8-47fd-8a20-dce675a25735,53.81267,-134.78235,14.66568,5.52154,-4.79107,-8.43021,1.95636,-3.65311,5.51863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-14,18:43:34.20,2,4,"Bosecker, Cory",1000078630,Left,NOR_ADA,"Rappoli, Reece",1000127204,Right,NSH_N,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.8362,-1.484241,0.817464,2354.013527,140.997141,10:45,5.54296,-2.10996,6.64172,-19.47765,13.2782,-9.94878,2.56078,-2.19072,83.42138,-5.189382,-0.994522,0.411923,,,,,,,,,,,,5.44012,7.70308,2.05834,50,5.4347,-1.49745,-132.12577,-3.96205,9.64679,27.32433,-18.51445,NOR_ADA,NSH_N,NorthAdams,NECBL,NECL,20220614-NorthAdams-1,6c6e2dd0-ec33-11ec-8166-274aeec4003e,91.50364,,,7.41483,,,,,,,de77d1cc-0826-4499-a48a-9701467c6a72,2022-06-14,22:43:34.20,2022-06-14T18:43:34.2038528-04:00,2022-06-14T22:43:34.2038528Z,,v3,,,,"Dunkel, Carson",1000079221,Right,NOR_ADA,124d5c49-ab24-4e33-b4c7-f949b48b374e,53.85405,-132.92042,13.66217,5.54209,-3.42362,-9.25722,2.10597,-1.77801,4.8234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
