PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-17,18:32:14.99,1,1,"Parker, Maxwell",1000132413,Left,VER_MOU,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.3392,-1.349498,1.902727,2180.133358,137.784093,10:30,5.97752,-1.97048,5.26353,-23.72982,15.29713,-12.82505,2.73129,-1.25103,78.5983,-5.735183,-0.372878,0.449628,,,,,,,,,,,,6.90508,8.35926,1.8061,50,5.83665,-3.5601,-123.87774,-3.73121,10.81453,22.91845,-19.08207,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,56c911a0-ee8d-11ec-9d67-bb716639ccbf,83.83021,,,6.7409,,,,,,,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:32:14.99,2022-06-17T18:32:14.9977452-04:00,2022-06-17T22:32:14.9977452Z,,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,78c4e3bd-5d9a-407e-b091-504e2f4e691c,55.23641,-124.84276,11.45922,5.97684,-2.92772,-9.54103,1.96559,-4.01546,5.40726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-17,18:32:29.24,1,2,"Parker, Maxwell",1000132413,Left,VER_MOU,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.80766,-2.178852,1.455512,2196.435389,140.34767,10:45,5.95911,-1.7951,5.32732,-26.03805,13.37938,-10.12186,1.7431,-1.27251,78.32765,-6.964276,-0.343746,0.451872,,,,,,,,,,,,5.48418,7.63178,1.67116,50,5.74333,-2.70384,-123.1101,-5.58125,8.4844,22.59784,-20.36714,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,5f50c110-ee8d-11ec-9d67-bb716639ccbf,83.41396,,,6.48002,,,,,,,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:32:29.24,2022-06-17T18:32:29.2496236-04:00,2022-06-17T22:32:29.2496236Z,,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,ce320c12-c625-4f39-b16c-265f199842e9,55.17358,-124.05612,11.29892,5.95913,-4.72862,-10.18357,1.79178,-3.05903,4.2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-17,18:32:47.04,1,3,"Parker, Maxwell",1000132413,Left,VER_MOU,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.68157,-3.06101,3.598084,2238.409695,137.298356,10:30,5.88772,-2.08277,5.18512,-23.59135,15.46654,-13.16205,1.03344,0.21005,78.93206,-7.399176,1.270248,0.449807,,,,,,,,,,,,7.46886,8.87233,1.75839,50,5.58491,-7.21717,-124.02515,-7.46348,11.71995,23.08143,-18.25185,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,69ed6dd0-ee8d-11ec-9d67-bb716639ccbf,83.797,,,6.74951,,,,,,,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:32:47.04,2022-06-17T18:32:47.0408044-04:00,2022-06-17T22:32:47.0408044Z,,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,a3970bfb-cac6-4449-aaaf-74daaf4b94d7,55.3142,-125.01023,11.54072,5.88681,-6.68453,-9.12593,2.07708,-7.71736,5.85997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-17,18:33:03.20,1,4,"Parker, Maxwell",1000132413,Left,VER_MOU,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.34058,-2.632879,2.053793,2113.815731,130.402823,10:15,6.04473,-2.11829,5.24403,-21.71812,18.55052,-20.27458,1.75716,-1.87685,77.34153,-6.666848,-1.543156,0.456725,,,,,,,,,,,,10.7343,10.39355,1.94537,50,5.78684,-3.51993,-122.2741,-6.3357,16.27806,23.73776,-16.4127,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,738a0fb0-ee8d-11ec-9d67-bb716639ccbf,82.52765,,,6.99904,,,,,,,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:33:03.20,2022-06-17T18:33:03.2043372-04:00,2022-06-17T22:33:03.2043372Z,,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,ee633632-91e9-4509-a8db-5ae3c6117e55,55.25668,-123.29038,11.86888,6.04305,-5.63302,-8.20635,2.11099,-4.21684,8.13903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,High,Medium,,,,,
5,2022-06-17,18:33:20.91,1,5,"Parker, Maxwell",1000132413,Left,VER_MOU,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,2,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.38358,-2.631047,1.917802,2152.279791,142.660906,10:45,6.0033,-1.91638,5.20937,-23.48013,16.65745,-11.76512,1.56923,-1.09261,77.69599,-6.962703,-0.167909,0.455981,,,,,,,,,,,,6.42288,9.39867,1.74836,50,5.74238,-3.59951,-122.37094,-6.42003,9.79253,22.9104,-17.84448,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,7e2053d0-ee8d-11ec-9d67-bb716639ccbf,82.66226,,,6.68759,,,,,,,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:33:20.91,2022-06-17T18:33:20.9112428-04:00,2022-06-17T22:33:20.9112428Z,,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,2b643919-b13d-4c86-8ef9-17fa011c0b59,55.2913,-123.35761,11.4552,6.00232,-5.65154,-8.92224,1.91246,-4.02124,4.89627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-17,18:33:45.06,1,6,"Parker, Maxwell",1000132413,Left,VER_MOU,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,2,2,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,70.94589,1.358081,1.53848,2238.199948,317.232029,4:30,6.05948,-2.06743,4.55334,-69.25669,-10.08823,11.26918,1.5815,0.33644,64.88433,-11.010021,3.519351,0.553626,79.70057,-12.783673,-44.142927,,,,,12.19034,8.01604,-33.429441,0.0877,-5.04418,-4.85996,1.89616,50,6.13496,-3.19281,-102.74622,0.04165,-5.31101,19.41351,-37.29111,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,8c861680-ee8d-11ec-9d67-bb716639ccbf,68.08284,2.27372,,6.06156,,,,2.98249,2.27372,0.26338,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:33:45.06,2022-06-17T18:33:45.0653036-04:00,2022-06-17T22:33:45.0653036Z,GroundBall,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,91399b4e-12c0-448d-b85c-a77cafca956e,55.94934,-103.86425,9.70676,6.07073,2.18924,-18.64556,2.07123,-2.88695,-2.6555,180,2.97977,81.99698,,,,,,,,2.27458,-25.92609,,,,,,,,0.26602,-79.57982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2022-06-17,18:34:20.82,2,1,"Parker, Maxwell",1000132413,Left,VER_MOU,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.84069,-1.870342,4.132898,2138.542426,148.462923,11:00,6.0667,-1.8659,5.25128,-24.82293,15.06615,-8.46847,2.2354,1.31875,77.76745,-6.453023,2.636191,0.454568,,,,,,,,,,,,5.35453,8.42256,1.49263,50,5.87654,-8.50689,-122.78975,-4.86508,8.19691,23.70223,-19.28051,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,a1cc6850-ee8d-11ec-9d67-bb716639ccbf,82.91934,,,7.07324,,,,,,,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:34:20.82,2022-06-17T18:34:20.8248172-04:00,2022-06-17T22:34:20.8248172Z,,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,636f51a8-d1c1-438c-b728-cc4492de8b2e,55.24774,-123.79858,11.85112,6.06615,-4.04445,-9.64026,1.86213,-8.85577,4.09845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-17,18:34:36.30,2,2,"Parker, Maxwell",1000132413,Left,VER_MOU,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.16616,1.911094,2.851909,2316.056717,341.708466,5:30,6.03359,-2.12886,4.62411,-71.30527,-14.0893,5.32957,1.91115,1.02861,65.82897,-10.828644,3.787634,0.544415,,,,,,,,,,,,-1.67811,-6.92158,1.83056,50,6.16408,-5.41173,-104.40197,0.96451,-1.82235,20.21556,-39.69058,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,ab112630-ee8d-11ec-9d67-bb716639ccbf,69.23476,,,6.33719,,,,,,,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:34:36.30,2022-06-17T18:34:36.3037548-04:00,2022-06-17T22:34:36.3037548Z,,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,3b5c5b42-9112-4b25-b256-b7cdfea618e4,55.87858,-105.53411,10.10778,6.04782,3.18733,-19.84529,2.13078,-5.30967,-0.91117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-17,18:34:51.73,2,3,"Parker, Maxwell",1000132413,Left,VER_MOU,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.84337,-0.691301,4.649566,2210.098787,154.720871,11:15,5.99197,-1.79026,5.51433,-22.44698,17.02296,-7.45721,3.4728,1.94563,77.68535,-4.881395,3.327853,0.452173,,,,,,,,,,,,5.00343,9.14764,1.38928,50,5.91667,-9.67452,-122.8179,-2.19736,7.67063,23.4835,-18.15003,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,b43a45c0-ee8d-11ec-9d67-bb716639ccbf,83.35843,,,7.15802,,,,,,,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:34:51.73,2022-06-17T18:34:51.7324652-04:00,2022-06-17T22:34:51.7324652Z,,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,6ba69488-ecdf-4de2-8a04-04df61a5d361,54.9844,-123.76728,11.74175,5.99067,-1.4636,-9.07502,1.78667,-9.98463,3.83532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-17,18:35:06.68,2,4,"Parker, Maxwell",1000132413,Left,VER_MOU,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,84.05707,-1.805729,3.950236,2157.088432,153.773037,11:15,5.93032,-1.93542,5.51229,-22.25667,17.87922,-8.19264,2.38243,1.08169,77.15693,-5.956249,2.495079,0.455972,64.15845,36.644667,-154.63475,4154.756988,,,,,56.17367,,,5.21977,9.90386,1.59626,50,5.75777,-8.07529,-121.77433,-4.54738,7.87,22.99765,-17.2417,VER_MOU,NSH_N,MontpelierRecreation,NECBL,NECL,20220617-MontpelierRecreation-1,bd326a40-ee8d-11ec-9d67-bb716639ccbf,82.664,31.71899,,6.90015,,,,1.72722,2.32202,-1.04192,bea3936b-2ecd-4b14-b984-d94a9b0141ef,2022-06-17,22:35:06.68,2022-06-17T18:35:06.6819436-04:00,2022-06-17T22:35:06.6819436Z,,v3,,,,"Pregent, Christian",687315,Right,VER_MOU,55ef4c74-b1c4-4776-9107-611bb0ce2284,54.98803,-122.71273,11.49883,5.92897,-3.84385,-8.62085,1.93232,-8.39642,3.935,,1.72722,-68.22189,3.14366,-0.72882,0.14478,-0.03214,0.00794,-0.00214,0.00041,2.32202,56.16299,-26.73545,3.33267,-0.69274,0.13738,-0.02971,0.00594,-0.00078,-1.04192,-32.34344,9.24268,-2.65406,0.62807,-0.14929,0.03564,-0.00774,0.00109,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
