PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-18,18:35:26.31,1,1,"Tringale, Todd",1000132326,Right,NSH_N,"Kulasingam, Sam",1000098762,Left,NEW_GUL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.2137,-0.183207,-2.815193,2216.814955,239.681979,2:00,5.25763,2.37675,6.07867,-25.45395,11.74544,18.14387,2.96677,1.28202,79.06837,-4.95325,0.449688,0.438975,,,,,,,,,,,,-10.05127,6.45591,-2.16823,50,5.22991,5.42518,-125.22429,-1.18684,-16.02381,24.34292,-21.88197,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,f34c90f0-ef56-11ec-be40-830384702c49,85.86473,,,7.14533,,,,,,,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:35:26.31,2022-06-18T18:35:26.3171214-04:00,2022-06-18T22:35:26.3171214Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,493b0704-d064-4a1b-a25b-ea728264b13c,54.4192,-126.08044,12.17146,5.25812,-0.41725,-10.94098,-2.36895,5.98874,-8.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-18,18:35:42.93,1,2,"Tringale, Todd",1000132326,Right,NSH_N,"Kulasingam, Sam",1000098762,Left,NEW_GUL,Undefined,1,Top,0,1,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.22887,0.062914,-2.998486,2149.382736,227.767907,1:30,5.12143,2.39025,6.14612,-21.27399,14.88072,15.21383,3.40681,0.88486,80.11859,-3.953409,-0.25917,0.432767,,,,,,,,,,,,-8.5928,8.00028,-2.1693,50,5.11508,6.02324,-126.71221,-0.48511,-14.07094,24.14862,-19.07339,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,fd2355a0-ef56-11ec-be40-830384702c49,87.09644,,,7.11028,,,,,,,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:35:42.93,2022-06-18T18:35:42.9321870-04:00,2022-06-18T22:35:42.9321870Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,f91dd821-70be-42c1-bc4d-3bb2118968d9,54.35154,-127.53882,12.07431,5.12051,0.16777,-9.5367,-2.38372,6.50489,-7.03547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-18,18:35:59.55,1,3,"Tringale, Todd",1000132326,Right,NSH_N,"Kulasingam, Sam",1000098762,Left,NEW_GUL,Undefined,1,Top,0,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.88292,-0.542336,-1.698319,2215.1221,226.611124,1:30,5.12997,2.44491,6.35082,-20.24773,16.11694,15.82887,2.94323,2.20031,79.35217,-4.401703,1.166799,0.434021,,,,,,,,,,,,-8.64937,8.88201,-2.32831,50,5.08086,3.1151,-126.26128,-1.74486,-13.95045,25.91492,-17.84838,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,07123630-ef57-11ec-be40-830384702c49,86.84464,,,7.53075,,,,,,,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:35:59.55,2022-06-18T18:35:59.5548302-04:00,2022-06-18T22:35:59.5548302Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,3b34034b-7dda-45fe-9e5f-4393bbd898de,54.1455,-127.10929,12.95746,5.1284,-1.16081,-8.92419,-2.43771,3.5716,-6.97523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-18,18:36:14.31,1,4,"Tringale, Todd",1000132326,Right,NSH_N,"Kulasingam, Sam",1000098762,Left,NEW_GUL,Undefined,1,Top,0,2,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.29304,0.057498,-3.04933,2308.955676,240.685963,2:00,5.16887,2.34516,6.1358,-24.77399,11.52556,18.50832,3.15759,1.06665,79.82764,-4.597689,0.283573,0.433633,63.36498,-65.039111,-48.07728,,,,,2.09123,1.44,-77.592791,0.036044,-10.37272,6.28351,-2.12162,50,5.1604,6.00696,-126.75898,-0.63585,-16.89973,25.58053,-21.93669,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,0fda9820-ef57-11ec-be40-830384702c49,86.92251,3.05364,,7.46539,,,,-0.50036,3.05364,-0.98481,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:36:14.31,2022-06-18T18:36:14.3196814-04:00,2022-06-18T22:36:14.3196814Z,GroundBall,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,cd3bbbfd-e6df-4f69-af2e-aa001c85691f,54.36241,-127.6363,12.79027,5.1693,0.1165,-10.96834,-2.33758,6.58656,-8.44987,,-0.5012,26.34782,,,,,,,,3.05634,-84.72023,,,,,,,,-0.98387,-29.34171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2022-06-18,18:36:50.78,2,1,"Tringale, Todd",1000132326,Right,NSH_N,"Kuroda-Grauer, Joshua",1000121000,Right,NEW_GUL,Undefined,1,Top,1,0,0,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.79537,-0.890575,-4.320086,2246.490721,235.70342,1:45,5.08041,2.35543,6.27186,-22.60088,12.68233,17.19186,2.37364,-0.20185,81.4365,-5.124549,-1.222949,0.427519,83.88686,25.660851,43.442508,5418.304294,69.33407,43.66417,85.39723,265.20943,180.64428,61.678652,3.676432,-9.99591,7.10559,-2.04406,50,5.00316,8.98003,-127.51409,-2.66656,-16.73407,22.09888,-20.27862,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,259f68c0-ef57-11ec-be40-830384702c49,88.16553,47.95131,,6.35886,,,,1.09945,2.33991,0.12063,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:36:50.78,2022-06-18T18:36:50.7807374-04:00,2022-06-18T22:36:50.7807374Z,LineDrive,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,62b5a0a4-f5b8-4bc1-9272-a17f1ad3c80b,54.22908,-128.24492,11.04944,5.08025,-1.99593,-10.13931,-2.35018,9.53344,-8.36703,228.485395,1.09938,80.52133,-26.56258,7.24642,-1.7099,0.35436,-0.06005,0.00678,-0.00034,2.33984,53.28256,-15.87623,-0.19565,0.34662,-0.08991,0.0072,0.0016,-0.00028,0.12059,76.25864,-5.03612,0.35494,0.1221,-0.06114,0.01484,-0.00209,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2022-06-18,18:37:13.23,2,2,"Tringale, Todd",1000132326,Right,NSH_N,"Kuroda-Grauer, Joshua",1000121000,Right,NEW_GUL,Undefined,1,Top,0,0,1,Undefined,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,86.39754,0.221126,-3.317001,2323.987476,225.618286,1:30,5.05134,2.28875,6.32951,-22.88375,13.403,12.70623,3.34832,0.28981,80.08507,-4.079258,-1.022699,0.433556,76.26856,76.169731,21.669764,,,,,,32.25279,,,-7.43237,7.24559,-2.05273,50,5.05637,6.80936,-125.62827,-0.17894,-12.07093,21.57584,-20.4065,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,33001780-ef57-11ec-be40-830384702c49,86.93782,70.48383,,6.31247,,,,1.99269,3.49344,-0.28962,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:37:13.23,2022-06-18T18:37:13.2332686-04:00,2022-06-18T22:37:13.2332686Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,ea820ee7-3b54-4aed-9c40-15b91c1ff6cd,54.17068,-126.34253,10.78792,5.05111,0.49661,-10.20325,-2.28477,7.20896,-6.03546,186.795732,1.99269,24.85006,-18.32339,6.37882,-1.73751,0.42821,-0.08517,0.00015,0.0064,3.49344,108.61733,-27.78381,3.05954,-0.34797,-0.02535,0.041,-0.02629,0.00893,-0.28962,9.87385,0.86988,-1.05429,0.4204,-0.13392,0.04005,-0.01129,0.00221,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2022-06-18,18:37:56.25,3,1,"Tringale, Todd",1000132326,Right,NSH_N,"Ledbetter, Colton",1000100015,Left,NEW_GUL,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.96995,0.71867,-2.405209,2384.873297,236.475001,2:00,5.15578,2.50427,6.27622,-22.47993,13.57296,18.55532,3.94551,1.83223,79.22724,-3.569976,0.946353,0.432157,,,,,,,,,,,,-10.29981,7.17827,-2.3347,50,5.19797,4.59396,-127.6162,0.9557,-16.74654,29.71128,-20.50287,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,4c9acf50-ef57-11ec-be40-830384702c49,87.21932,,,8.74271,,,,,,,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:37:56.25,2022-06-18T18:37:56.2502286-04:00,2022-06-18T22:37:56.2502286Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,6017b178-0870-473a-b267-77f23094c16d,54.21873,-128.59465,14.85564,5.15538,1.63089,-10.25143,-2.49507,5.14545,-8.37327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-18,18:38:12.45,3,2,"Tringale, Todd",1000132326,Right,NSH_N,"Ledbetter, Colton",1000100015,Left,NEW_GUL,Undefined,1,Top,1,1,0,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.01108,-0.823102,-3.154601,2301.365502,229.462512,1:45,5.03352,2.42298,6.21488,-21.57316,15.35895,16.4206,2.47498,0.87727,78.56595,-4.93726,-0.193988,0.437395,,,,,,,,,,,,-9.40036,8.57997,-2.19391,50,4.96097,6.27577,-126.13497,-2.42164,-14.96019,28.57038,-18.51946,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,56488830-ef57-11ec-be40-830384702c49,86.1749,,,8.44513,,,,,,,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:38:12.45,2022-06-18T18:38:12.4515470-04:00,2022-06-18T22:38:12.4515470Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,67fa361e-e741-480e-a84b-37d1eca93624,54.27969,-127.10065,14.28519,5.03224,-1.79569,-9.25973,-2.41458,6.78143,-7.4801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-18,18:38:30.32,3,3,"Tringale, Todd",1000132326,Right,NSH_N,"Ledbetter, Colton",1000100015,Left,NEW_GUL,Undefined,1,Top,1,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.81023,0.344095,-2.578244,2366.835277,237.657899,2:00,5.01646,2.58282,6.19228,-23.42489,12.57705,17.98466,3.38239,1.69965,79.77446,-4.08768,0.664918,0.431852,,,,,,,,,,,,-10.01457,6.76055,-2.39713,50,5.03056,5.00633,-127.4769,0.06394,-16.39009,27.52759,-21.10955,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,60e6bb90-ef57-11ec-be40-830384702c49,87.281,,,8.03577,,,,,,,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:38:30.32,2022-06-18T18:38:30.3259278-04:00,2022-06-18T22:38:30.3259278Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,515f5a27-11e7-4e80-8884-ee38ef0a19f3,54.30454,-128.40307,13.7638,5.01647,0.77417,-10.55478,-2.57485,5.55777,-8.19504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-18,18:38:51.05,3,4,"Tringale, Todd",1000132326,Right,NSH_N,"Ledbetter, Colton",1000100015,Left,NEW_GUL,Undefined,1,Top,1,2,1,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.47233,-0.603604,-3.720664,2333.030469,234.937215,1:45,5.08715,2.48986,6.35146,-21.32552,14.55485,19.13438,2.75325,0.65492,80.0057,-4.650053,-0.264371,0.431122,71.23587,17.112835,-165.590327,1689.041197,-106.08229,10.74586,-29.09446,147.12009,63.93608,-164.650808,1.674863,-11.00737,8.09052,-2.22842,50,5.03314,7.51979,-126.98561,-1.94372,-18.00208,25.61667,-18.94235,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220618-FraserField-1,6d4f27a0-ef57-11ec-be40-830384702c49,87.42878,14.24239,,7.46662,,,,1.06446,2.73198,-0.65561,bd27a67e-38fc-4931-bd8c-87bc39898a59,2022-06-18,22:38:51.05,2022-06-18T18:38:51.0543502-04:00,2022-06-18T22:38:51.0543502Z,LineDrive,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,8fabeec1-674e-44c6-8aa6-888fbf212f78,54.14757,-127.81956,12.80834,5.08638,-1.32706,-9.47117,-2.48276,8.10585,-9.00104,346.116953,1.06445,-96.71086,7.3775,-0.44097,-0.18842,0.46656,-0.3918,0.16797,-0.02925,2.73198,30.74374,-21.77419,1.89158,-0.40918,0.16469,-0.083,0.03203,-0.00538,-0.65562,-24.84853,1.07271,0.09336,-0.08783,0.12744,-0.10097,0.04283,-0.00743,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
