PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-19,18:48:54.94,1,1,"Smith, Cooper",1000133459,Left,NSH_N,"Kulasingam, Sam",1000098762,Right,NEW_GUL,Undefined,1,Top,0,0,0,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.45373,-1.977708,1.547124,2023.657518,133.576041,10:30,6.29416,-0.27549,5.7603,-22.18647,14.60627,-14.09375,2.60312,-0.00962,79.93145,-6.130923,-0.977179,0.436569,70.71637,43.247272,81.111529,5047.501755,-3.52918,57.07203,109.94335,204.8773,92.83696,97.278757,3.52008,7.61741,8.36445,0.15598,50,6.11688,-2.83398,-126.91348,-5.09057,12.39952,26.45188,-18.55847,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,ffa5b680-f021-11ec-826b-0108649f0577,86.33794,57.16729,,7.52229,,,,-0.12828,2.43527,0.03696,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:48:54.94,2022-06-19T18:48:54.9402392-04:00,2022-06-19T22:48:54.9402392Z,FlyBall,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,8d272b39-c1db-4fbb-93f1-5af6be1d180b,54.73684,-127.89694,13.22594,6.29331,-4.40058,-9.27924,0.26991,-3.29498,6.19976,,-0.12851,11.68037,-12.62076,4.02968,-1.07101,0.23575,-0.02545,-0.00227,0.00061,2.43446,71.08783,-27.09356,3.57001,-1.07592,0.42365,-0.13744,0.02529,-0.00188,0.03672,74.64815,-9.30139,2.28698,-0.54552,0.13487,-0.02351,0.00143,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2022-06-19,18:49:14.08,1,2,"Smith, Cooper",1000133459,Left,NSH_N,"Kulasingam, Sam",1000098762,Right,NEW_GUL,Undefined,1,Top,0,0,1,Undefined,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,87.32754,-1.384725,1.041373,2157.406767,139.629509,10:45,6.26664,-0.04475,5.92513,-20.37001,16.28631,-12.83355,3.28382,-0.14783,79.70025,-5.233164,-1.264038,0.435758,70.89632,36.708831,117.983155,3959.314987,,,,,89.46747,,,6.86406,9.10067,-0.03131,50,6.14438,-1.77344,-126.8087,-3.67455,11.14673,26.58343,-17.39527,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,0b1b5e20-f022-11ec-826b-0108649f0577,86.49851,52.55026,,7.62728,,,,-0.65501,3.19664,0.30542,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:49:14.08,2022-06-19T18:49:14.0823832-04:00,2022-06-19T22:49:14.0823832Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,a5eb179d-87a6-43f1-88c7-d718a710175b,54.57152,-127.76346,13.29172,6.26513,-3.04979,-8.69764,0.03957,-2.17377,5.57336,,-0.65502,-39.1118,-3.47591,0.43494,-0.89475,1.42855,-1.18017,0.50511,-0.08858,3.19664,62.15511,-19.46796,2.31544,-0.69603,0.91158,-0.85684,0.4057,-0.0777,0.30539,73.61898,-9.84375,0.72279,-2.54777,4.1314,-3.38005,1.43382,-0.2493,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2022-06-19,18:49:33.84,1,3,"Smith, Cooper",1000133459,Left,NSH_N,"Kulasingam, Sam",1000098762,Right,NEW_GUL,Undefined,1,Top,0,0,2,Undefined,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,87.0448,-1.079102,1.804037,2077.481358,139.908488,10:45,6.30215,-0.01246,5.92316,-21.74525,15.01072,-11.67095,3.48812,0.6895,79.73701,-5.16786,-0.291652,0.43635,,,,,,,,,,,,6.4515,8.33548,-0.12538,50,6.20343,-3.49883,-126.41869,-3.04807,10.4618,25.27985,-18.65719,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,16dbf170-f022-11ec-826b-0108649f0577,86.38111,,,7.3078,,,,,,,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:49:33.84,2022-06-19T18:49:33.8489112-04:00,2022-06-19T22:49:33.8489112Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,90fd1505-7847-4679-9050-d1794b759c69,54.57359,-127.32999,12.63992,6.30118,-2.37551,-9.32859,0.00755,-3.87596,5.2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-19,18:50:06.69,2,1,"Smith, Cooper",1000133459,Left,NSH_N,"Kuroda-Grauer, Joshua",1000121000,Right,NEW_GUL,Undefined,1,Top,1,0,0,Undefined,Cutter,FoulBall,Undefined,Undefined,Undefined,0,0,,86.5339,-1.951566,0.427272,2067.100825,149.543216,11:00,6.29782,-0.08041,5.74446,-19.24493,18.403,-10.09115,2.87635,-0.52353,78.91981,-5.588925,-1.379706,0.441613,71.9557,16.920706,165.36824,1056.4161,-107.0482,11.49373,25.31066,148.74028,62.70991,167.473564,1.740554,5.27957,10.31859,0.05124,50,6.12403,-0.51855,-125.5893,-4.85294,8.3984,26.38892,-15.75996,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,2a790010-f022-11ec-826b-0108649f0577,85.35172,14.68236,,7.61408,,,,1.07338,2.8386,0.53829,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:50:06.69,2022-06-19T18:50:06.6979608-04:00,2022-06-19T22:50:06.6979608Z,LineDrive,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,cc401beb-b796-4d12-8aa1-7038e4266afd,54.75248,-126.58395,13.19446,6.29575,-4.25891,-7.87998,0.07675,-0.8351,4.1992,312.465329,1.07344,-97.6981,8.37741,-0.85455,1.16301,-1.38305,0.9824,-0.35714,0.05087,2.83862,30.71442,-21.20215,1.80999,-0.12452,-0.16924,0.15317,-0.05355,0.00674,0.53827,25.50712,-4.95493,0.74979,-0.53281,0.56405,-0.39314,0.14307,-0.02052,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2022-06-19,18:50:22.38,2,2,"Smith, Cooper",1000133459,Left,NSH_N,"Kuroda-Grauer, Joshua",1000121000,Right,NEW_GUL,Undefined,1,Top,1,0,1,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.46615,-2.141048,2.041512,2136.040825,157.320747,11:15,6.15365,-0.1038,6.01706,-14.57686,21.96033,-8.66445,2.95353,1.06597,79.59257,-4.961004,0.48399,0.43505,,,,,,,,,,,,5.02807,12.25989,-0.05163,50,5.97768,-4.16415,-126.87854,-5.1042,8.16161,26.98481,-12.27363,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,33c44da0-f022-11ec-826b-0108649f0577,86.63938,,,7.87357,,,,,,,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:50:22.38,2022-06-19T18:50:22.3859992-04:00,2022-06-19T22:50:22.3859992Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,bdb21a0d-0982-477c-9dbe-add7491f1c22,54.47858,-127.8275,13.49241,6.14959,-4.67258,-6.13682,0.09986,-4.45117,4.0808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-19,18:50:38.08,2,3,"Smith, Cooper",1000133459,Left,NSH_N,"Kuroda-Grauer, Joshua",1000121000,Right,NEW_GUL,Undefined,1,Top,1,1,1,Undefined,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,86.51668,-3.263304,1.307386,2110.42767,138.544291,10:30,6.26255,-0.34013,5.93991,-19.70214,17.60843,-14.49603,1.58952,-0.33516,79.35332,-6.969838,-1.298175,0.43963,72.89434,4.763121,170.47059,6457.243256,,,,60.14759,56.4405,170.091734,0.620781,7.83878,10.31949,0.24427,50,5.99111,-2.28525,-125.51865,-7.73705,12.50798,25.36048,-15.70775,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,3d279000-f022-11ec-826b-0108649f0577,85.73672,2.66746,,7.16336,,,,2.35117,1.6335,0.30551,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:50:38.08,2022-06-19T18:50:38.0863768-04:00,2022-06-19T22:50:38.0863768Z,GroundBall,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,8641ab4c-4944-4775-a2c3-43c19364c5e4,54.55841,-126.4363,12.68024,6.26078,-7.16868,-7.85387,0.33514,-2.73785,6.25399,342.794315,2.35117,-105.0721,10.13615,-1.33294,0.27999,-0.04434,0.00635,0.00011,-0.00052,1.6335,8.87755,-19.40099,1.53778,-0.27541,0.05924,-0.0087,0.00106,0,0.30551,17.63849,-2.46198,0.21221,-0.0539,0.00622,-0.00048,-0.00064,0.00035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2022-06-19,18:50:59.34,2,4,"Smith, Cooper",1000133459,Left,NSH_N,"Kuroda-Grauer, Joshua",1000121000,Right,NEW_GUL,Undefined,1,Top,1,1,2,Undefined,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,70.15163,2.374721,-0.536368,2415.123774,342.179398,5:30,6.34199,-0.0836,5.10233,-75.1126,-16.13391,5.81359,2.32155,-0.10453,64.38631,-11.157079,0.495195,0.552738,,,,,,,,,,,,-3.03984,-8.0828,0.12948,50,6.50723,0.73669,-101.75874,1.75425,-3.15426,18.3184,-40.56105,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,49d93a10-f022-11ec-826b-0108649f0577,68.19229,,,5.76532,,,,,,,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:50:59.34,2022-06-19T18:50:59.3416984-04:00,2022-06-19T22:50:59.3416984Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,38563813-b76a-461f-8c45-5893b50f2d59,55.40008,-102.72626,9.1592,6.35801,3.89654,-20.28053,0.08616,0.90328,-1.57713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-19,18:51:32.40,3,1,"Smith, Cooper",1000133459,Left,NSH_N,"Ledbetter, Colton",1000100015,Left,NEW_GUL,Undefined,1,Top,2,0,0,Undefined,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.94242,-2.332195,0.785654,2097.977822,154.693927,11:15,6.22083,-0.23334,5.81811,-15.44241,21.57773,-9.64741,2.76421,-0.30678,79.62671,-5.282594,-0.943557,0.437916,63.52033,27.968094,-153.264846,4368.768451,-103.76437,22.39154,-36.50952,158.27857,63.48747,-165.091059,2.380704,5.15646,12.02898,0.1749,50,6.02088,-1.33431,-126.22539,-5.5613,8.33148,25.34309,-12.73841,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,5d898290-f022-11ec-826b-0108649f0577,86.0724,25.59013,,7.3157,,,,0.7709,2.75586,0.30899,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:51:32.40,2022-06-19T18:51:32.4085016-04:00,2022-06-19T22:51:32.4085016Z,FlyBall,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,bedf8896-29f9-4e2a-803a-e91d52ecf19f,54.67944,-127.16145,12.67155,6.2176,-5.0908,-6.36921,0.22987,-1.64203,4.16574,55.040106,0.77083,-73.48041,3.12027,0.59375,-0.64874,0.66956,-0.36357,0.09616,-0.01001,2.75579,43.69561,-23.09734,2.47918,-0.60039,0.25674,-0.07396,0.00944,-0.00029,0.3089,-37.00703,8.75242,0.15265,-0.97778,1.15368,-0.65034,0.17561,-0.01853,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2022-06-19,18:51:54.51,3,2,"Smith, Cooper",1000133459,Left,NSH_N,"Ledbetter, Colton",1000100015,Left,NEW_GUL,Undefined,1,Top,2,0,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.87729,-2.99242,1.911062,2146.860743,151.259054,11:00,6.1585,-0.34173,5.84657,-13.69442,22.59922,-11.74914,2.23251,0.45569,80.38043,-5.629194,-0.194698,0.433598,,,,,,,,,,,,6.51457,12.71725,0.19313,50,5.90679,-3.75795,-127.44516,-7.01275,10.72511,25.94839,-11.23729,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,6ad4fba0-f022-11ec-826b-0108649f0577,86.92954,,,7.49686,,,,,,,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:51:54.51,2022-06-19T18:51:54.5157912-04:00,2022-06-19T22:51:54.5157912Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,8fb8dacb-f074-4e44-a6cb-e2af9af7a1d1,54.65029,-128.38849,12.9742,6.15431,-6.60423,-5.61865,0.33683,-4.14784,5.36256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-19,18:52:13.02,3,3,"Smith, Cooper",1000133459,Left,NSH_N,"Ledbetter, Colton",1000100015,Left,NEW_GUL,Undefined,1,Top,2,0,2,Undefined,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.71089,-1.34044,1.251571,2152.107141,156.322753,11:15,6.21838,-0.24047,6.11938,-13.56977,21.53958,-8.96426,3.84782,0.16976,81.16386,-3.969303,-0.363785,0.426464,,,,,,,,,,,,4.93382,11.78607,0.14901,50,6.10828,-2.44298,-128.88358,-3.33997,8.3176,26.22002,-12.30473,NSH_N,NEW_GUL,FraserField,NECBL,NECL,20220619-FraserField-2,75b1e5b0-f022-11ec-826b-0108649f0577,88.38354,,,7.54703,,,,,,,e95ccfe4-40e1-4c14-8800-c094cb83db34,2022-06-19,22:52:13.02,2022-06-19T18:52:13.0289944-04:00,2022-06-19T22:52:13.0289944Z,,v3,,,,"Phinney, Jackson",1000097238,Right,NSH_N,91e0288b-63bb-4922-8d44-e07469ad1fd9,54.3766,-129.7709,13.11001,6.21426,-2.92356,-6.15237,0.23644,-2.72446,4.1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
