PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-23,18:38:30.75,1,1,"Fauci, Sonny",1000078223,Right,SAN_MAI,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.86896,-2.011945,-4.060049,2177.593925,222.947291,1:30,6.07128,1.82834,5.84009,-16.51615,17.87092,15.49458,2.81955,-0.6602,82.12765,-5.17171,-1.290793,0.422055,,,,,,,,,,,,-9.05847,10.05922,-1.50574,50,5.8972,8.63322,-131.46954,-5.10623,-15.70482,30.32416,-14.73419,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,3536f590-f345-11ec-9224-f5327d3ed87f,89.30697,,,8.7413,,,,,,,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:38:30.75,2022-06-23T18:38:30.7508920-04:00,2022-06-23T22:38:30.7508920Z,,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,4ef9ccdf-fe68-4a6a-8b07-2e0524e602fd,54.65667,-132.53928,15.16208,6.06816,-4.58646,-7.36709,-1.82007,9.18723,-7.85241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-23,18:38:43.98,1,2,"Fauci, Sonny",1000078223,Right,SAN_MAI,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,90.93887,-2.449166,-3.748903,2155.823806,226.507854,1:30,6.04133,1.87594,5.85153,-16.73895,17.25158,17.01166,2.36437,-0.1949,83.00659,-5.625655,-0.705366,0.419615,80.81718,15.152945,18.10909,3087.042022,101.99633,19.06648,41.19095,210.54539,205.76899,26.143532,2.353097,-9.78308,9.84867,-1.58109,50,5.83206,7.90619,-131.7626,-6.15542,-17.18779,28.16438,-14.87106,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,3d1c7190-f345-11ec-9224-f5327d3ed87f,89.82633,19.0776,,7.93227,,,,1.66499,2.22603,0.14281,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:38:43.98,2022-06-23T18:38:43.9850680-04:00,2022-06-23T22:38:43.9850680Z,LineDrive,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,4e08fd75-c05c-468c-afb1-b66f41b2bdce,54.64935,-132.75268,14.08219,6.03926,-5.63265,-7.43553,-1.86964,8.5104,-8.59389,234.766638,1.66497,108.74462,-18.00169,3.56915,-0.76843,0.18091,-0.04133,0.00636,-0.00042,2.22609,30.98073,-14.94394,0.66262,0.03936,-0.08471,0.03436,-0.00546,0.00026,0.14286,35.55869,2.98538,-1.04511,0.40025,-0.16485,0.04888,-0.00755,0.0004,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2022-06-23,18:39:16.67,2,1,"Fauci, Sonny",1000078223,Right,SAN_MAI,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.5965,-1.607071,-1.942571,2262.0909,230.259979,1:45,5.9869,1.98791,5.94952,-16.48556,17.11871,19.16257,3.1213,1.78237,82.78877,-4.764937,1.499656,0.417223,,,,,,,,,,,,-10.34319,9.59977,-1.84357,50,5.84968,3.65186,-132.83833,-4.20396,-18.26856,31.51794,-15.21851,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,50a18b60-f345-11ec-9224-f5327d3ed87f,90.34114,,,8.80773,,,,,,,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:39:16.67,2022-06-23T18:39:16.6730424-04:00,2022-06-23T22:39:16.6730424Z,,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,99cf91d9-49ee-444f-91be-725c8a5c7592,54.54821,-133.91312,15.75897,5.98419,-3.68499,-7.60926,-1.97872,4.27483,-9.13428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-23,18:39:32.75,2,2,"Fauci, Sonny",1000078223,Right,SAN_MAI,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.2309,-3.489482,-2.246818,2138.811172,227.136882,1:30,5.93183,1.89168,5.81147,-15.89851,18.01706,18.18056,1.35556,1.31633,83.15148,-6.507838,1.010432,0.419152,,,,,,,,,,,,-9.97741,10.56784,-1.71858,50,5.63597,4.40205,-132.192,-8.54342,-17.57621,29.35419,-13.55775,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,5a34b760-f345-11ec-9224-f5327d3ed87f,89.92555,,,8.07942,,,,,,,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:39:32.75,2022-06-23T18:39:32.7516856-04:00,2022-06-23T22:39:32.7516856Z,,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,d37b9cf6-d4e8-4b9c-8dd6-37c1f84e5844,54.68919,-133.22919,14.6771,5.92938,-8.06437,-6.77888,-1.88509,5.02308,-8.7881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-06-23,18:39:51.11,2,3,"Fauci, Sonny",1000078223,Right,SAN_MAI,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,0,2,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.6821,-1.797473,-3.403658,2100.433463,227.000232,1:30,5.83798,1.91499,6.00991,-17.10284,16.9893,16.97733,2.74401,0.17277,82.36089,-5.062292,-0.355697,0.420241,74.24585,8.3136,-175.019232,972.751481,,,,87.15298,40.30081,-173.322861,0.88298,-9.74434,9.60938,-1.65679,50,5.68727,7.09974,-131.45386,-4.63076,-16.9496,29.40676,-15.45922,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,65250260-f345-11ec-9224-f5327d3ed87f,89.69242,5.45168,,8.32121,,,,1.70914,2.64646,-0.15735,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:39:51.11,2022-06-23T18:39:51.1117496-04:00,2022-06-23T22:39:51.1117496Z,GroundBall,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,fcbf2437-d67b-4645-9a36-03894e65ed96,54.48997,-132.45447,14.70338,5.83589,-4.10473,-7.72961,-1.90818,7.67648,-8.4748,327.753294,1.70346,-107.25264,8.26181,,,,,,,2.69524,14.99919,-20.50258,,,,,,,-0.14228,-9.58669,-1.97581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2022-06-23,18:40:13.09,2,4,"Fauci, Sonny",1000078223,Right,SAN_MAI,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.1097,-2.289263,-2.971434,1964.264205,218.464922,1:15,6.07029,1.68443,5.60128,-18.10009,15.85174,11.76422,2.42074,-0.11175,83.67408,-5.679044,-0.874374,0.419375,61.25765,51.659604,-123.985782,4688.40908,,,,,23.4298,,,-6.78804,8.96863,-1.43777,50,5.86232,6.34603,-132.14308,-5.89053,-12.06402,26.80727,-16.23454,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,72387b80-f345-11ec-9224-f5327d3ed87f,89.87759,28.50592,,7.43562,,,,0.78309,2.49377,0.09594,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:40:13.09,2022-06-23T18:40:13.0903736-04:00,2022-06-23T22:40:13.0903736Z,,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,b8b14aa7-89c8-47fa-b87f-b56a4bd585dc,54.89996,-133.1334,13.40363,6.06886,-5.29079,-8.11727,-1.68044,6.7917,-6.03201,33.567603,0.79285,-31.45177,-2.06699,,,,,,,2.51307,69.88882,-26.87976,,,,,,,0.08651,-45.93007,7.85489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2022-06-23,18:40:42.61,2,5,"Fauci, Sonny",1000078223,Right,SAN_MAI,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.12788,-0.650403,-4.446379,1946.965441,239.034383,2:00,5.74058,2.18047,6.41709,-28.9784,10.61733,15.67816,2.72594,-0.60895,76.39097,-6.085616,-1.614572,0.452893,,,,,,,,,,,,-9.39504,6.08469,-1.86927,50,5.68068,8.81358,-120.60418,-2.19617,-13.90124,22.44728,-23.17092,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,83d8a8b0-f345-11ec-9224-f5327d3ed87f,83.22595,,,6.73691,,,,,,,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:40:42.61,2022-06-23T18:40:42.6145464-04:00,2022-06-23T22:40:42.6145464Z,,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,86d06369-3567-4a80-af8d-e8a9575c61cb,54.08431,-121.36199,11.22364,5.74162,-1.41394,-11.58546,-2.17474,9.28288,-6.95062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-23,18:41:28.71,3,1,"Fauci, Sonny",1000078223,Right,SAN_MAI,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.70656,-2.10766,-2.935043,2054.930155,223.482316,1:30,5.97918,1.88731,5.8465,-18.61784,14.48186,12.80005,2.4656,0.22408,84.45099,-5.597104,-0.642496,0.414079,,,,,,,,,,,,-7.29721,8.24937,-1.65591,50,5.79645,6.27093,-133.10286,-5.50974,-13.19774,26.38599,-17.25417,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,9f451340-f345-11ec-9224-f5327d3ed87f,91.02714,,,7.25557,,,,,,,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:41:28.71,2022-06-23T18:41:28.7170000-04:00,2022-06-23T22:41:28.7170000Z,,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,99bd3340-3dab-4474-b5cf-6c6352d0fe19,54.6543,-134.02234,13.193,5.97797,-4.90848,-8.62708,-1.88244,6.73083,-6.59887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.94496,1.587211,0.682035,0.905176,-0.2505,2.30038,-0.20643,-3.45055,5.03069,2.21483,64.23248,0.1066,60.54538,-3.40329,82.5511,-8.69825,5.02997,3.9023,-10.32042,2.22601,66.9164,-2.75995,High,High,High,,,High,High,High
9,2022-06-23,18:41:58.55,3,2,"Fauci, Sonny",1000078223,Right,SAN_MAI,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.22391,7.917728,2.125825,2249.037248,29.878588,7:00,6.21036,1.0652,5.61146,-72.94917,-16.47749,-10.47099,7.57416,2.17776,64.65185,-5.331221,0.267736,0.540862,,,,,,,,,,,,5.74276,-9.59607,-1.24052,50,6.84595,-3.41465,-102.5671,11.94689,6.13302,16.56248,-42.42221,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,b12d6d00-f345-11ec-9224-f5327d3ed87f,69.68953,,,6.57206,,,,,,,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:41:58.55,2022-06-23T18:41:58.5544376-04:00,2022-06-23T22:41:58.5544376Z,,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,7fea1090-4a24-4f71-919e-bab6ce944832,54.89439,-103.35442,8.28124,6.2301,13.96349,-21.21111,-1.07127,-3.70619,3.06651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-23,18:42:37.88,3,3,"Fauci, Sonny",1000078223,Right,SAN_MAI,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.83805,-2.960245,-2.674629,2148.779345,220.746803,1:15,6.30247,1.51264,5.95727,-13.98339,19.19481,15.59828,2.38654,0.33035,83.81993,-5.643488,0.125474,0.41457,71.09747,11.242422,17.765958,3422.76482,,,,135.04431,133.346,23.357452,1.532248,-8.79418,11.03111,-1.30896,50,6.05916,5.55571,-133.15724,-7.28303,-15.765,29.00379,-12.39895,SAN_MAI,NSH_N,GoodallPark,NECBL,NECL,20220623-GoodallPark-1,c8833de0-f345-11ec-9224-f5327d3ed87f,90.91932,9.32426,,8.01811,,,,1.54123,2.38164,-0.31468,ab671050-5505-4fef-ba9e-0d5beac574f1,2022-06-23,22:42:37.88,2022-06-23T18:42:37.8824376-04:00,2022-06-23T22:42:37.8824376Z,GroundBall,v3,,,,"Lucas, MJ",1000080003,Right,SAN_MAI,99b3f713-d1a8-43e0-802a-5a6b6a793a91,54.5434,-134.14321,14.50189,6.29958,-6.86153,-6.19948,-1.50693,6.09163,-7.8825,247.042714,1.54123,97.39706,-14.15268,2.27701,-0.32164,-0.03443,0.03399,-0.00796,0.00058,2.38164,20.33036,-15.42914,0.90938,-0.21312,0.12508,-0.0526,0.01311,-0.00135,-0.31469,31.20881,3.99609,-1.22541,0.08219,0.18791,-0.11524,0.03061,-0.00309,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
