PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-25,20:28:43.03,1,1,"Thomas Morrissey, Michael",1000132342,Right,BRI_B,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,0,0,Undefined,Cutter,Undefined,Undefined,Undefined,Undefined,0,0,,82.23185,-1.075813,2.482429,1911.786103,172.533306,11:45,5.60131,-1.73604,6.85833,-27.1773,12.41331,-1.47394,2.3548,0.40551,75.86542,-6.218521,2.213256,0.452864,,,,,,,,,,,,1.43555,7.25,1.5784,50,5.52271,-5.13577,-119.59246,-2.93196,2.0906,21.86542,-21.61589,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,f154ba80-f4e6-11ec-bdfd-4fd1e78c3df5,83.2313,,,6.36643,,,,,,,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-26,00:28:43.03,2022-06-25T20:28:43.0310000-04:00,2022-06-26T00:28:43.0310000Z,,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,d1dc3aec-3ffe-4814-91bd-37abbdcd6d8b,53.63925,-120.25599,10.93271,5.60174,-2.276,-10.80795,1.73521,-5.19921,1.0453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-06-25,20:28:58.55,1,2,"Thomas Morrissey, Michael",1000132342,Right,BRI_B,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,71.51955,0.957302,0.338133,1965.623002,285.719532,3:30,5.54427,-1.48683,6.45954,-54.59208,-1.5441,10.89335,1.87435,-0.26846,66.42251,-9.148247,2.318002,0.524211,67.13825,11.53705,44.957363,3810.307462,,,,94.59428,93.30969,47.822934,1.07156,-5.66363,-0.66795,1.45816,50,5.5874,-0.94262,-104.11981,0.32572,-6.24516,16.74836,-32.91059,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,faa62290-f4e6-11ec-bdfd-4fd1e78c3df5,71.90323,6.56776,,5.09703,,,,2.14236,1.99407,0.48044,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-26,00:28:58.55,2022-06-25T20:28:58.5500000-04:00,2022-06-26T00:28:58.5500000Z,GroundBall,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,c6bc7c9f-c853-4f28-b104-4254fca27adc,54.04132,-104.76786,8.37418,5.55016,1.59915,-16.4553,1.48996,-0.70097,-3.12258,,2.14236,68.27204,-11.42029,1.33029,-0.34315,0.31475,-0.3936,0.24243,-0.05771,1.99407,19.69378,-22.19748,2.31556,-0.50052,0.35378,-0.38637,0.23842,-0.05748,0.48044,68.17095,-2.38094,-0.69063,0.20835,-0.24799,0.31129,-0.20171,0.04996,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2022-06-25,20:29:24.76,1,3,"Thomas Morrissey, Michael",1000132342,Right,BRI_B,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,0,0,Undefined,Cutter,Undefined,Undefined,Undefined,Undefined,0,0,,84.23796,1.773713,0.985257,1986.488961,187.334463,12:15,5.66964,-1.56705,6.65515,-24.95887,13.40457,1.56799,5.21367,-0.53466,76.61487,-2.989917,1.270563,0.44579,,,,,,,,,,,,-0.5326,6.91508,1.50033,50,5.77865,-2.16304,-122.38763,3.14004,-0.80467,25.03425,-21.72652,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,0a310450-f4e7-11ec-bdfd-4fd1e78c3df5,84.55205,,,7.62309,,,,,,,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-26,00:29:24.76,2022-06-25T20:29:24.7640000-04:00,2022-06-26T00:29:24.7640000Z,,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,076a7571-b8c3-4ff1-9ae5-6d39df2a947c,53.83904,-123.1704,12.51713,5.66984,3.81938,-10.86326,1.56758,-2.13788,-0.40234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-06-25,18:30:59.13,1,4,"Ulsh, Mason",1000120926,Right,BRI_B,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.3164,1.010974,-1.370946,1778.260284,259.309073,2:45,4.90236,1.72062,5.56331,-33.35518,4.38189,17.31595,3.06758,1.88264,79.34149,-5.122177,1.718339,0.442136,,,,,,,,,,,,-9.10166,2.3015,-1.61394,50,4.96765,2.2631,-125.4154,1.02041,-14.57624,24.05773,-28.48824,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,7ee79e50-f4d6-11ec-9fc3-f9bc29cacf6b,85.25086,,,6.97492,,,,,,,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-25,22:30:59.13,2022-06-25T18:30:59.1350000-04:00,2022-06-25T22:30:59.1350000Z,,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,d23d3664-309c-4674-a44f-57002116f1b4,54.93538,-126.35858,12.02887,4.90575,2.13729,-14.24412,-1.71386,2.83456,-7.28812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-06-25,18:31:13.66,1,5,"Ulsh, Mason",1000120926,Right,BRI_B,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,85.97466,0.016416,-2.986848,2012.057404,227.014187,1:30,4.89699,1.55388,5.56505,-23.07718,15.15355,14.9782,2.98925,0.00934,78.61225,-4.297488,-0.319159,0.445018,86.51864,51.116433,-12.223576,4475.905571,108.16817,128.50848,-19.99027,234.25899,233.46883,-7.675777,6.113413,-8.43685,8.02473,-1.30646,50,4.88343,5.88467,-124.74675,-0.71272,-13.32172,24.61681,-19.50309,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,878e6e80-f4d6-11ec-9fc3-f9bc29cacf6b,84.69866,138.28153,,7.36242,,,,1.62498,3.03249,-0.0042,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-25,22:31:13.66,2022-06-25T18:31:13.6680000-04:00,2022-06-25T22:31:13.6680000Z,FlyBall,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,7444fecc-2c7a-4793-a5ce-3a8fbc091c28,54.93318,-125.71646,12.30841,4.89638,0.05555,-9.75155,-1.54861,6.40944,-6.66086,181.693327,1.62359,77.84818,-22.40231,6.60629,-1.37095,0.18354,-0.01178,0,2E-05,3.01948,99.00509,-21.77411,2.18135,-0.65343,0.196,-0.03497,0.00315,-0.00012,-0.00469,-16.84928,5.49313,-1.26199,0.15636,0.00865,-0.00652,0.00088,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2022-06-25,18:31:47.64,2,1,"Ulsh, Mason",1000120926,Right,BRI_B,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.56854,0.201915,-2.184138,1822.096586,220.164129,1:15,4.9532,1.55703,5.58572,-21.15659,16.36942,12.86481,3.37884,0.58857,79.3791,-3.763432,0.109886,0.440897,,,,,,,,,,,,-7.06028,8.57174,-1.37789,50,4.95686,4.24285,-125.69893,-0.2305,-11.36138,24.09786,-18.38038,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,9bd7c2b0-f4d6-11ec-9fc3-f9bc29cacf6b,85.49028,,,7.18944,,,,,,,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-25,22:31:47.64,2022-06-25T18:31:47.6470000-04:00,2022-06-25T22:31:47.6470000Z,,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,30956b88-ecc1-4c03-b80b-3504609180fa,54.91102,-126.63693,12.04893,4.95191,0.48495,-9.19019,-1.55165,4.68509,-5.68069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-06-25,18:31:59.50,2,2,"Ulsh, Mason",1000120926,Right,BRI_B,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.79318,-1.654855,-3.320659,1995.360711,236.563783,2:00,4.90379,1.73089,5.805,-24.98604,11.08745,15.21749,1.27963,-0.09257,81.15727,-6.284176,-0.597243,0.43228,,,,,,,,,,,,-8.61583,6.3952,-1.46746,50,4.75276,6.76827,-127.4536,-4.5207,-14.32838,23.49371,-21.53864,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,a2e26f10-f4d6-11ec-9fc3-f9bc29cacf6b,87.19443,,,6.6359,,,,,,,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-25,22:31:59.50,2022-06-25T18:31:59.5030000-04:00,2022-06-25T22:31:59.5030000Z,,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,38ab93cd-7ac6-47d6-9270-9b9779a78e6e,54.69419,-128.31597,11.74685,4.90419,-3.7301,-10.76932,-1.72555,7.29422,-7.16419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-25,18:32:11.74,2,3,"Ulsh, Mason",1000120926,Right,BRI_B,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,2,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,86.52134,-0.316973,-2.27163,1967.692526,239.265045,2:00,4.91642,1.59886,5.49744,-27.0297,10.52142,15.86729,2.36723,0.79528,79.78348,-5.304381,0.55456,0.441045,59.6304,-50.988011,77.195788,,,,,2.57778,2.06105,24.207011,0.035842,-8.63772,5.71981,-1.41148,50,4.87042,4.32064,-125.69954,-1.63438,-13.94542,23.31339,-22.93955,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,aa27b370-f4d6-11ec-9fc3-f9bc29cacf6b,85.4617,2.44783,,6.73786,,,,1.91162,2.44783,-0.87677,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-25,22:32:11.74,2022-06-25T18:32:11.7430000-04:00,2022-06-25T22:32:11.7430000Z,GroundBall,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,16ff0be0-c5d4-4c8f-9ff3-089ed9683f6d,55.00198,-126.62385,11.65669,4.91719,-0.72489,-11.46977,-1.59374,4.87353,-6.97271,,1.91127,12.26182,,,,,,,,2.44979,-68.29525,,,,,,,,-0.87832,53.95223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2022-06-25,18:32:43.14,3,1,"Ulsh, Mason",1000120926,Right,BRI_B,"Blasick, Nate",1000052098,Left,NSH_N,Undefined,1,Top,2,0,0,Slider,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,75.21415,-1.029461,-4.450096,1346.702186,252.872887,2:30,4.95442,1.68873,5.56718,-43.74983,5.98319,14.72178,0.34395,-1.24977,69.86715,-8.999769,-1.82938,0.507567,,,,,,,,,,,,-8.70532,3.63496,-1.31486,50,4.83609,7.97269,-109.0598,-3.31031,-10.58572,17.44841,-27.7539,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,bcf36850-f4d6-11ec-9fc3-f9bc29cacf6b,74.26095,,,5.347,,,,,,,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-25,22:32:43.14,2022-06-25T18:32:43.1450000-04:00,2022-06-25T22:32:43.1450000Z,,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,8a8026a5-88a7-438e-805c-bb90ae6207c2,54.93385,-109.84633,8.72421,4.95711,-2.05924,-13.87695,-1.685,8.44987,-5.29286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-25,18:32:55.69,3,2,"Ulsh, Mason",1000120926,Right,BRI_B,"Blasick, Nate",1000052098,Left,NSH_N,Undefined,1,Top,2,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.42124,-1.190373,-2.869024,1929.953612,256.771184,2:30,4.90393,1.60588,5.63739,-30.86762,6.10489,20.93989,1.21958,0.67213,80.04266,-6.878158,0.871972,0.437634,,,,,,,,,,,,-11.42245,3.78882,-1.37557,50,4.78299,5.4618,-126.84039,-3.73,-18.5912,26.17077,-26.00737,BRI_B,NSH_N,MuzzyField,NECBL,NECL,20220625-MuzzyField-1,c45a8c90-f4d6-11ec-9fc3-f9bc29cacf6b,86.12784,,,7.37858,,,,,,,af62b7f3-7991-48b0-9bb6-8dd950b8c3e3,2022-06-25,22:32:55.69,2022-06-25T18:32:55.6970000-04:00,2022-06-25T22:32:55.6970000Z,,v3,,,,"Smith, Boston",1000113135,Right,BRI_B,df7ea5d0-3db9-4ce2-8666-a12ba5b7bee8,54.86126,-127.83947,13.08539,4.90643,-2.73716,-13.00368,-1.59762,6.17153,-9.2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
