PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-06-28,18:30:16.50,1,1,"Payero, Nick",1000056283,Right,OCE_STA6,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.5919,-1.560241,-1.658806,2218.782843,210.577597,1:00,6.02539,0.18967,5.50133,-15.74028,20.27588,11.32052,3.25336,-0.41894,81.17564,-4.544681,0.357381,0.431937,69.6811,58.710245,172.934182,,,,,,9.19009,,,-6.17426,11.00068,-0.05259,50,5.87864,3.23116,-128.60522,-3.98089,-10.37842,25.75423,-13.68277,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,e2c0b120-f731-11ec-a7c4-49850bf725eb,87.2638,18.87416,,7.41626,,,,1.11245,3.29062,0.47134,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:30:16.50,2022-06-28T18:30:16.5048744-04:00,2022-06-28T22:30:16.5048744Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,4122f5da-d522-4224-8af6-db6e68e4fb57,55.0005,-129.60275,12.87712,6.02257,-3.45093,-6.84138,-0.18552,3.63314,-5.18921,351.963659,1.11314,-52.72336,-0.03208,,,,,,,3.29268,87.19205,-32.77403,,,,,,,0.47164,6.50841,-2.42319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2022-06-28,18:30:37.00,1,2,"Payero, Nick",1000056283,Right,OCE_STA6,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.41174,-0.630965,-0.946738,2116.138914,121.575007,10:00,5.5285,0.82275,4.97258,-41.8342,5.9691,-6.87256,1.44622,-0.64431,70.99734,-8.256058,-2.160814,0.497623,,,,,,,,,,,,3.06339,3.70583,-0.72544,50,5.43394,2.16797,-113.51502,-2.72297,3.93279,23.90061,-27.4165,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,eef8e570-f731-11ec-a7c4-49850bf725eb,75.74498,,,7.4144,,,,,,,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:30:37.00,2022-06-28T18:30:37.0054056-04:00,2022-06-28T22:30:37.0054056Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,a119fc57-87f0-4978-bbd6-98ee4d4ac097,55.52457,-114.67232,11.95031,5.53365,-1.39542,-13.70825,-0.82581,1.97754,1.96639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-06-28,18:30:58.14,1,3,"Payero, Nick",1000056283,Right,OCE_STA6,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.35203,-2.015988,0.288528,2127.892611,214.423433,1:15,6.1284,0.10198,5.36675,-20.78292,16.39469,10.28237,2.50531,1.22939,79.49205,-5.924387,2.116516,0.438846,94.26079,34.144553,-59.00487,,,,,,66.90838,,,-5.07611,9.29918,-0.13552,50,5.93325,-1.10574,-127.9396,-5.18827,-8.25636,30.99456,-17.04872,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,fb89c110-f731-11ec-a7c4-49850bf725eb,85.88988,48.20243,,8.85998,,,,2.03027,2.58434,-0.84457,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:30:58.14,2022-06-28T18:30:58.1446568-04:00,2022-06-28T22:30:58.1446568Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,c2212559-eecd-4b4c-8b76-f321d8b26c77,55.13206,-129.1769,15.49728,6.12678,-4.50768,-8.52436,-0.09795,-0.77615,-4.12818,,2.03027,58.92137,-30.13031,7.1716,-1.56865,0.31888,-0.06441,0.01352,-0.0023,2.58434,77.59674,-5.01877,-2.41767,0.93974,-0.27926,0.07545,-0.0159,0.00175,-0.84457,-98.08051,1.83205,1.41684,-0.76292,0.26954,-0.08094,0.01971,-0.00284,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2022-06-28,18:31:28.25,1,4,"Payero, Nick",1000056283,Right,OCE_STA6,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.24699,-3.263788,-3.259993,2219.732375,209.759831,1:00,5.94545,-0.0612,5.48859,-13.09076,23.58765,12.7806,1.79279,-2.0494,80.4253,-5.785924,-0.988653,0.43589,,,,,,,,,,,,-7.30359,13.12898,0.3385,50,5.65003,6.69898,-127.69397,-7.63161,-12.04771,26.52663,-10.51696,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,0d7bded0-f732-11ec-a7c4-49850bf725eb,86.47243,,,7.82169,,,,,,,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:31:28.25,2022-06-28T18:31:28.2529704-04:00,2022-06-28T22:31:28.2529704Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,efa367d2-9f7a-4351-8df3-12716f589b5c,55.01089,-128.73071,13.26331,5.94026,-7.22058,-5.25848,0.06748,7.16984,-6.02385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-06-28,18:31:44.86,1,5,"Payero, Nick",1000056283,Right,OCE_STA6,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,1,2,Slider,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,78.13371,-1.344196,-0.964599,789.312646,244.194483,2:15,5.74948,0.11486,5.04281,-41.13447,6.43729,9.99012,1.05315,0.03733,71.47329,-8.818511,0.80406,0.496416,,,,,,,,,,,,-5.21945,4.09721,-0.03108,50,5.58873,1.49291,-113.24402,-4.08796,-6.73421,21.92432,-26.88778,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,1775bbe0-f732-11ec-a7c4-49850bf725eb,75.92911,,,6.66042,,,,,,,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:31:44.86,2022-06-28T18:31:44.8639400-04:00,2022-06-28T22:31:44.8639400Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,e16bc55e-860c-4c46-8fe6-412d39f0d63e,55.45661,-114.29555,10.96216,5.75387,-2.79838,-13.44389,-0.11043,1.8159,-3.3671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-06-28,18:32:00.76,1,6,"Payero, Nick",1000056283,Right,OCE_STA6,"Viera, Max",1000098712,Left,NSH_N,Undefined,1,Top,0,2,2,Splitter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.34968,-1.496214,-0.91651,2222.721909,157.863428,11:15,5.6548,0.62571,4.92785,-34.11234,11.92201,-4.25185,1.39716,-0.59511,72.88431,-7.7072,-1.666784,0.488329,,,,,,,,,,,,1.83988,6.75898,-0.53275,50,5.48109,2.02052,-115.04271,-4.19506,2.46776,21.18015,-23.10858,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,20e97900-f732-11ec-a7c4-49850bf725eb,77.18657,,,6.46537,,,,,,,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:32:00.76,2022-06-28T18:32:00.7620000-04:00,2022-06-28T22:32:00.7620000Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,fa983d50-6559-43bd-a455-97130fb564bb,55.57131,-116.0639,10.59008,5.6565,-3.0809,-11.55429,-0.6273,1.90155,1.23388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.26679,2.691117,1.645926,1.04519,-2.23848,0.88711,0.7031,-3.97882,5.19417,5.39709,67.17211,5.93103,57.63374,-3.87195,73.83702,-5.56354,5.23318,13.94444,-12.68262,5.43941,52.45964,-2.39395,High,High,High,,,High,High,High
7,2022-06-28,18:32:25.73,2,1,"Payero, Nick",1000056283,Right,OCE_STA6,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,0,0,Slider,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.44388,-0.804899,-1.122115,771.931794,225.9573,1:30,5.65643,0.28944,5.17848,-37.60427,10.0165,8.47178,1.76515,-0.0606,70.58736,-7.733543,0.380093,0.496672,,,,,,,,,,,,-4.55268,5.81831,-0.19158,50,5.55372,1.86692,-113.51249,-2.85259,-5.81776,24.76907,-24.73898,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,2fc8d880-f732-11ec-a7c4-49850bf725eb,75.89003,,,7.85653,,,,,,,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:32:25.73,2022-06-28T18:32:25.7311656-04:00,2022-06-28T22:32:25.7311656Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,3b6bf757-f01a-447a-90f9-8d1dfbe78f74,55.31698,-114.66681,12.38454,5.65979,-1.69966,-12.36949,-0.28491,2.13804,-2.90888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-06-28,18:32:35.61,2,2,"Payero, Nick",1000056283,Right,OCE_STA6,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,0,1,Splitter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.58673,-1.630156,-2.132782,2109.358766,157.688917,11:15,5.64704,0.53843,5.05122,-34.62966,11.24694,-3.98158,1.22219,-1.80594,72.73523,-7.95175,-2.83622,0.487491,,,,,,,,,,,,1.33504,6.54174,-0.33192,50,5.46457,4.46095,-115.24826,-4.47463,1.78614,22.46819,-23.42189,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,35b0fde0-f732-11ec-a7c4-49850bf725eb,77.31917,,,6.8515,,,,,,,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:32:35.61,2022-06-28T18:32:35.6105640-04:00,2022-06-28T22:32:35.6105640Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,a1acc1df-2d31-4264-9863-b30f2ea14d79,55.44654,-116.30524,11.2341,5.64915,-3.37278,-11.71095,-0.5398,4.37692,0.89307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-06-28,18:32:47.10,2,3,"Payero, Nick",1000056283,Right,OCE_STA6,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.98586,-0.921971,-0.143513,1899.803386,158.084273,11:15,5.64482,0.39048,5.08164,-44.91983,3.40441,-0.63445,1.03231,0.20232,70.43339,-9.110435,-0.25596,0.500327,,,,,,,,,,,,0.26343,2.5941,-0.37637,50,5.52281,0.3094,-112.87404,-3.38637,0.33287,24.47685,-28.89606,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,3c8c5ce0-f732-11ec-a7c4-49850bf725eb,75.33562,,,7.55247,,,,,,,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:32:47.10,2022-06-28T18:32:47.1083944-04:00,2022-06-28T22:32:47.1083944Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,ef4e8aa5-1fe3-40d7-a546-cfa74a4356a9,55.41491,-114.04222,12.23843,5.65152,-2.00727,-14.44803,-0.39076,0.29351,0.16643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-06-28,18:32:58.68,2,4,"Payero, Nick",1000056283,Right,OCE_STA6,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,2,1,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.96129,-1.847806,-1.564682,2257.52499,127.376829,10:15,5.60399,0.67492,4.99694,-39.85057,6.00252,-5.71811,0.53725,-1.27924,72.74492,-9.083317,-2.575489,0.487367,,,,,,,,,,,,2.32437,4.06095,-0.51953,50,5.39424,3.40517,-115.73363,-5.15751,3.11049,24.28835,-26.73963,OCE_STA6,NSH_N,OldMountain,NECBL,NECL,20220628-OldMountain-1,43737bb0-f732-11ec-a7c4-49850bf725eb,77.33898,,,7.21638,,,,,,,4298b3af-f1dc-4e90-821d-8ddd668162dd,2022-06-28,22:32:58.68,2022-06-28T18:32:58.6876328-04:00,2022-06-28T22:32:58.6876328Z,,v3,,,,"Meggers, Chase",1000119843,Right,OCE_STA6,6e5ed26d-a713-438f-a7e8-d8f04700b6df,55.50138,-116.88247,12.14418,5.60828,-3.89273,-13.36981,-0.67711,3.25804,1.55525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
