PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-03,16:06:59.83,1,1,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.69785,-2.215496,-3.917758,2264.032026,215.36687,1:15,5.805,1.54454,5.61104,-20.93367,14.68922,9.5278,1.9867,-1.32403,81.19708,-6.144492,-2.221941,0.429572,,,,,,,,,,,,-6.0302,8.48997,-1.2155,50,5.6019,8.46236,-129.73451,-5.71861,-10.17049,29.77662,-17.85491,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,b2c96d80-fb0b-11ec-a9d5-e587ff519fa4,87.74417,,,8.50077,,,,,,,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:06:59.83,2022-07-03T16:06:59.8310000-04:00,2022-07-03T20:06:59.8310000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,ec84f6a0-e32c-4677-90ce-8b6bd9c9dfb6,54.88686,-130.85133,14.88831,5.80382,-5.04893,-8.92745,-1.54005,8.84382,-5.08524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-03,16:07:16.73,1,2,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.40273,-0.542969,-2.803855,2330.619074,26.162005,6:45,5.68988,1.50906,4.66613,-45.61625,-0.17925,-0.80232,1.37213,-1.22329,73.83942,-8.726861,-2.944606,0.48515,,,,,,,,,,,,-0.40528,0.43689,-1.22219,50,5.59284,5.73867,-116.47143,-2.83875,-0.55523,22.41762,-31.57552,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,bcd5c120-fb0b-11ec-a9d5-e587ff519fa4,77.69232,,,6.56332,,,,,,,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:07:16.73,2022-07-03T16:07:16.7350000-04:00,2022-07-03T20:07:16.7350000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,7c9039cc-6eaa-491a-b8e0-584d04c74ea3,55.83488,-117.58913,11.20881,5.69513,-1.26447,-15.78776,-1.50899,5.76635,-0.27761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-03,16:07:32.53,1,3,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.23252,-2.131637,-1.352079,2130.117791,217.658551,1:15,5.76823,1.37195,5.22718,-21.81178,14.41741,10.17623,1.94514,0.94864,81.17824,-6.183433,0.452555,0.433212,,,,,,,,,,,,-5.51252,8.20056,-1.25537,50,5.55579,2.59139,-129.32528,-5.58668,-9.27622,28.58129,-18.37454,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,c63029e0-fb0b-11ec-a9d5-e587ff519fa4,87.00685,,,8.05428,,,,,,,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:07:32.53,2022-07-03T16:07:32.5340000-04:00,2022-07-03T20:07:32.5340000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,95ec7e63-d12b-4a1d-92b0-cb2765faf7c8,55.27213,-130.48523,14.29064,5.76739,-4.84096,-9.18727,-1.36819,2.96786,-4.63811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-03,16:07:52.24,1,4,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,1,2,Curveball,Slider,InPlay,Undefined,Popup,Out,1,0,,82.57021,1.27527,-1.274619,2370.482483,21.748756,6:45,5.67688,1.50447,4.70266,-45.84569,-2.5298,-1.60591,3.06746,0.1605,74.88255,-7.005005,-1.556674,0.473691,107.43902,81.994927,144.458891,,,,,,16.26541,,,0.39398,-1.23949,-1.37376,50,5.76488,2.73264,-119.58686,0.86545,0.56416,25.46373,-33.94894,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,d2083cd0-fb0b-11ec-a9d5-e587ff519fa4,79.57179,93.42643,,7.68766,,,,1.74466,3.10762,-0.16941,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:07:52.24,2022-07-03T16:07:52.2440000-04:00,2022-07-03T20:07:52.2440000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,4e59ff79-b678-4e0b-a179-7748a0c8f2c3,55.79704,-120.81492,12.73187,5.68366,2.50274,-16.97447,-1.50489,2.70543,0.28208,,1.74488,-17.8878,24.7348,-12.83621,10.87667,-9.93551,5.31543,-1.32936,0.1009,3.1076,156.0443,-92.72263,30.41099,-12.50044,5.02556,-1.45142,0.185,0.00603,-0.16941,12.75675,-2.14629,0.86656,-0.48871,0.32929,-0.15286,0.03465,-0.00219,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2022-07-03,16:08:25.91,2,1,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Penney, Jack",1000112975,Left,NSH_N,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.92864,0.285741,-1.586394,2234.318817,215.388082,1:15,5.87827,1.53227,5.31694,-20.4995,14.29402,9.3143,4.43827,0.8192,82.30933,-3.55651,0.066679,0.424542,,,,,,,,,,,,-5.10244,7.40804,-1.39536,50,5.88976,3.20897,-131.81277,-0.05839,-8.91147,29.92961,-19.23586,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,e6087a10-fb0b-11ec-a9d5-e587ff519fa4,88.78378,,,8.61931,,,,,,,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:08:25.91,2022-07-03T16:08:25.9110000-04:00,2022-07-03T20:08:25.9110000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,5f6a9442-2fc8-461b-a67e-30fc984daeca,55.17971,-132.98368,14.9648,5.87732,0.69416,-9.61793,-1.52773,3.5576,-4.45574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-03,16:08:39.66,2,2,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Penney, Jack",1000112975,Left,NSH_N,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.42792,-2.629231,-2.749587,2256.445701,216.564568,1:15,5.6968,1.43818,5.00555,-20.886,14.98702,10.15229,1.46978,-0.31331,81.7374,-6.509462,-0.958894,0.431077,,,,,,,,,,,,-5.9128,8.6254,-1.18269,50,5.42768,5.79882,-130.75568,-6.77262,-10.1114,30.71625,-17.42387,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,ee370d00-fb0b-11ec-a9d5-e587ff519fa4,87.43776,,,8.69053,,,,,,,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:08:39.66,2022-07-03T16:08:39.6680000-04:00,2022-07-03T20:08:39.6680000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,a03993db-3f54-45d0-9e4e-ebe2e540ad43,55.49274,-132.03969,15.35813,5.69556,-6.04426,-8.71194,-1.43393,6.2215,-5.0557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-03,16:08:54.11,2,3,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Penney, Jack",1000112975,Left,NSH_N,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.76272,-1.729983,-1.69556,2272.981741,213.24313,1:00,5.77642,1.60597,5.24628,-20.61107,15.37879,9.2343,2.43184,0.7816,81.09453,-5.588338,-0.058158,0.431779,67.11575,59.695048,-114.768085,4880.560068,,,,,20.93782,,,-5.16382,8.605,-1.45746,50,5.60273,3.42428,-130.00971,-4.64246,-8.72682,30.46148,-17.63167,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,f6e99d00-fb0b-11ec-a9d5-e587ff519fa4,87.29569,33.75017,,8.66818,,,,1.24749,2.38927,-0.68987,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:08:54.11,2022-07-03T16:08:54.1190000-04:00,2022-07-03T20:08:54.1190000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,0e145ce8-9e5c-4427-9dea-967b5fa21e64,55.25182,-131.23445,15.23074,5.77513,-3.93356,-8.81583,-1.60219,3.77515,-4.36341,27.577221,1.26058,-21.21952,-5.03873,,,,,,,2.40793,84.4081,-28.54978,,,,,,,-0.69664,-44.89354,6.83394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2022-07-03,16:09:13.35,2,4,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Penney, Jack",1000112975,Left,NSH_N,Undefined,1,Top,1,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.90828,1.22671,-3.599262,2278.910868,347.069523,5:30,5.75394,1.62601,4.84756,-50.38617,-5.22752,1.56799,2.71893,-1.65533,73.25997,-7.869421,-3.323871,0.483662,,,,,,,,,,,,-1.91807,-2.45402,-1.27138,50,5.83242,7.28808,-116.96313,0.57945,-2.61946,24.97303,-35.52544,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,02527360-fb0c-11ec-a9d5-e587ff519fa4,77.9314,,,7.64831,,,,,,,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:09:13.35,2022-07-03T16:09:13.3570000-04:00,2022-07-03T20:09:13.3570000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,73c63ac4-3368-4c8a-8c38-caa4947b39b9,55.65106,-118.16354,12.48652,5.76353,2.28709,-17.76272,-1.62473,7.41399,-1.30973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-03,16:09:28.57,2,5,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Penney, Jack",1000112975,Left,NSH_N,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.15777,-1.576618,-1.764441,2256.361919,199.398494,12:45,5.84391,1.39481,4.85794,-15.70284,20.36765,6.7289,3.04191,0.2849,81.5981,-4.544998,-0.580474,0.432262,74.63027,26.882718,-168.909201,2231.959317,,,,,56.07854,,,-3.84689,10.87068,-1.22685,50,5.67601,3.69558,-130.54037,-4.11971,-6.58422,29.56052,-13.56822,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,0b5b87d0-fb0c-11ec-a9d5-e587ff519fa4,87.19805,23.88682,,8.55967,,,,1.06235,3.03591,-0.27303,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:09:28.57,2022-07-03T16:09:28.5750000-04:00,2022-07-03T20:09:28.5750000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,51a7fc01-91da-4cc8-be95-1356a5f7e384,55.63963,-131.81125,14.78026,5.84059,-3.53637,-6.78411,-1.39181,3.97865,-3.29211,5.574249,1.06235,-95.80555,7.52978,-0.40237,0.07461,0.00296,0.03599,-0.08351,0.05801,3.03591,49.49296,-26.98884,3.11153,-0.60267,-0.11372,0.71426,-1.05679,0.59432,-0.27303,-18.78032,2.16017,-0.02086,0.004,-0.0112,0.06446,-0.10565,0.06344,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2022-07-03,16:09:51.26,2,6,"Alejandro, Hector",1000048145,Right,MYS_SCH,"Penney, Jack",1000112975,Left,NSH_N,Undefined,1,Top,1,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.96801,-1.749571,-2.417983,2209.785163,218.649689,1:15,5.79898,1.70872,5.12526,-17.26032,17.85127,13.2919,2.71075,0.53757,82.33591,-5.001162,-0.06822,0.426478,,,,,,,,,,,,-7.31134,9.74977,-1.49216,50,5.6217,4.92346,-131.70816,-4.60961,-12.73576,30.15169,-15.19076,MYS_SCH,NSH_N,DoddStadium,NECBL,NECL,20220703-DoddStadium-1,18e3bbc0-fb0c-11ec-a9d5-e587ff519fa4,88.38075,,,8.63211,,,,,,,b563a150-82fa-4d32-83b9-407172465136,2022-07-03,20:09:51.26,2022-07-03T16:09:51.2620000-04:00,2022-07-03T20:09:51.2620000Z,,v3,,,,"DeJohn, Jackson",1000079439,Right,MYS_SCH,32ef8b3d-330b-40e5-b456-bb96f968b5f9,55.3722,-132.93232,15.07584,5.79633,-3.99287,-7.59538,-1.70254,5.44054,-6.36788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.34753,2.28316,1.288141,0.99502,-0.38098,2.55139,-0.53666,-2.75383,5.66002,-2.23568,79.43781,8.75327,-45.34182,-2.65629,88.01085,-5.48918,5.74277,16.45828,-13.46094,-2.44155,-50.52569,7.35562,High,High,High,,,High,High,High
