PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-04,18:48:01.74,1,1,"Perachi, Dominic",1000132360,Left,NEW_GUL,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.31263,-4.491837,2.535716,2236.042176,160.124921,11:15,5.61456,-1.76861,6.39937,-11.46875,22.66761,-7.75008,0.5153,-0.08092,81.82926,-6.754496,1.133478,0.420513,,,,,,,,,,,,4.82662,13.57702,1.58997,50,5.28585,-5.47631,-130.68588,-10.50437,8.25803,30.28734,-8.94461,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,5c026570-fbeb-11ec-9079-815998c05a4b,89.63433,,,8.48338,,,,,,,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:48:01.74,2022-07-04T18:48:01.7494672-04:00,2022-07-04T22:48:01.7494672Z,,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,4fd52b7e-5742-4521-9153-dab2e380e838,54.10042,-131.63275,15.14367,5.60988,-10.22474,-4.4723,1.76521,-5.73448,4.12902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-04,18:48:15.03,1,2,"Perachi, Dominic",1000132360,Left,NEW_GUL,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.22455,-4.2936,3.153666,2345.124029,161.34197,11:30,5.6197,-1.84106,6.34505,-10.62505,23.54832,-7.54784,0.76812,0.4362,81.97257,-6.39906,1.79087,0.420741,,,,,,,,,,,,4.84713,13.86265,1.61491,50,5.30116,-6.88401,-130.54214,-10.00974,8.3096,29.15604,-8.40881,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,63f54ef0-fbeb-11ec-9079-815998c05a4b,89.58576,,,8.25198,,,,,,,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:48:15.03,2022-07-04T18:48:15.0382736-04:00,2022-07-04T22:48:15.0382736Z,,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,b9532997-37db-4fc7-bb9e-ff25073f8d5f,54.15433,-131.46672,14.57802,5.61436,-9.74309,-4.2044,1.83739,-7.14752,4.1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-04,18:48:32.02,1,3,"Perachi, Dominic",1000132360,Left,NEW_GUL,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.64027,-2.534153,2.47008,2210.486583,154.541835,11:15,5.64164,-1.74908,6.18888,-10.71796,24.27777,-10.93623,2.40489,-0.3783,80.58722,-4.686186,0.499036,0.425774,,,,,,,,,,,,6.38363,13.67339,1.56767,50,5.44432,-5.13069,-129.83068,-5.92789,10.72257,31.21476,-9.20685,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,6e0c02d0-fbeb-11ec-9079-815998c05a4b,88.5269,,,9.05306,,,,,,,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:48:32.02,2022-07-04T18:48:32.0216720-04:00,2022-07-04T22:48:32.0216720Z,,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,75d7d383-274f-44a1-9398-742234bd11e8,54.30774,-130.86228,15.60738,5.6352,-5.62362,-4.60342,1.74308,-5.48506,5.36128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-04,18:48:46.50,1,4,"Perachi, Dominic",1000132360,Left,NEW_GUL,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.07294,-2.558509,3.310914,2277.064068,162.302188,11:30,5.6277,-1.89209,6.02718,-12.98434,22.59895,-6.80075,2.17054,0.61104,80.41841,-5.102033,2.090664,0.429333,40.61855,-29.987145,-20.381439,,,,,4.18595,1.41287,-26.239824,0.067859,4.52193,12.77686,1.6364,50,5.42001,-7.17163,-128.93997,-6.06663,7.51955,29.87281,-10.9274,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,76c52280-fbeb-11ec-9079-815998c05a4b,87.79302,2.03854,,8.65454,,,,0.44306,2.03854,-0.62041,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:48:46.50,2022-07-04T18:48:46.5013904-04:00,2022-07-04T22:48:46.5013904Z,GroundBall,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,e1ed2448-b346-4a96-9391-24702526f4c1,54.47117,-129.97172,14.9364,5.62303,-5.68921,-5.4637,1.88859,-7.43134,3.75978,,0.43836,48.79979,,,,,,,,2.04144,-30.04068,,,,,,,,-0.61866,-18.13049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2022-07-04,18:49:19.93,2,1,"Perachi, Dominic",1000132360,Left,NEW_GUL,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.04768,-0.88398,2.18576,2283.063723,154.232993,11:15,5.72459,-2.11377,6.32202,-11.00379,22.46852,-10.28587,3.99279,-0.95683,82.28166,-3.077298,0.32665,0.416403,,,,,,,,,,,,5.95284,12.22524,1.95823,50,5.65406,-4.60475,-132.1229,-2.24005,10.42026,30.70418,-10.77418,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,8ab92ac0-fbeb-11ec-9079-815998c05a4b,90.51904,,,8.76602,,,,,,,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:49:19.93,2022-07-04T18:49:19.9324304-04:00,2022-07-04T22:49:19.9324304Z,,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,4e640163-2355-4915-8316-0ec2ca840cc4,54.17565,-133.08974,15.35209,5.71925,-1.90078,-5.38709,2.1084,-4.93287,5.21013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-04,18:49:30.13,2,2,"Perachi, Dominic",1000132360,Left,NEW_GUL,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.42456,-2.516009,3.288013,2311.266251,165.893162,11:30,5.67025,-1.70576,5.95375,-12.95686,22.03576,-5.25229,2.2517,0.90934,81.66553,-5.023157,2.346968,0.425755,,,,,,,,,,,,3.59055,12.31717,1.44691,50,5.46232,-7.22062,-129.58725,-6.01909,6.10721,27.01147,-11.22374,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,90c0e610-fbeb-11ec-9079-815998c05a4b,88.53086,,,7.75903,,,,,,,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:49:30.13,2022-07-04T18:49:30.1312656-04:00,2022-07-04T22:49:30.1312656Z,,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,f40cd468-7b38-4202-afe4-71b41cd7c7cd,54.54558,-130.5313,13.50574,5.66583,-5.62682,-5.61187,1.703,-7.43407,3.05361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-04,18:49:41.84,2,3,"Perachi, Dominic",1000132360,Left,NEW_GUL,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.44396,-3.456036,3.122531,2387.196406,160.121833,11:15,5.70781,-1.68435,6.14001,-10.64229,22.76237,-7.81811,1.61828,0.55282,83.16513,-5.554644,1.716281,0.415982,,,,,,,,,,,,4.91323,13.05725,1.44979,50,5.43769,-6.88751,-132.41167,-8.22218,8.68616,29.38462,-9.08999,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,97b60ea0-fbeb-11ec-9079-815998c05a4b,90.61066,,,8.27882,,,,,,,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:49:41.84,2022-07-04T18:49:41.8448016-04:00,2022-07-04T22:49:41.8448016Z,,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,1452cc3e-76dd-4da1-bc74-3f5bad5a3253,54.35898,-133.3755,14.69231,5.7025,-7.92402,-4.545,1.68037,-7.17242,4.34308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-04,18:49:54.55,2,4,"Perachi, Dominic",1000132360,Left,NEW_GUL,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.29052,-1.536781,3.79222,2396.091024,165.465025,11:30,5.82227,-1.8514,6.00148,-10.98603,21.93328,-5.40201,3.4793,1.21748,83.84136,-3.695778,2.82454,0.41295,71.41128,17.360392,171.937756,,,,,,19.42301,,,3.87914,12.04209,1.55557,50,5.69502,-8.62997,-133.72436,-3.84598,6.99266,30.04558,-10.46664,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,9f4ef140-fbeb-11ec-9079-815998c05a4b,91.27614,8.15366,,8.44916,,,,0.97259,3.11216,-1.30354,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:49:54.55,2022-07-04T18:49:54.5574032-04:00,2022-07-04T22:49:54.5574032Z,,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,49b98853-4422-4bfe-9e69-e336545432ef,54.49854,-134.73132,15.02279,5.81804,-3.49519,-5.23332,1.84872,-8.86433,3.49633,27.415573,0.97306,-99.00804,11.27799,,,,,,,3.11477,31.08656,-33.85637,,,,,,,-1.30473,14.09534,6.01978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2022-07-04,18:50:12.97,2,5,"Perachi, Dominic",1000132360,Left,NEW_GUL,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,1,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,78.17595,0.553009,0.894309,2701.523315,282.235325,3:30,5.58477,-2.16926,5.64315,-48.86247,-2.53083,18.4795,2.02886,0.20503,71.73097,-8.378217,4.198794,0.489903,,,,,,,,,,,,-9.11036,-0.9974,2.08134,50,5.60064,-2.47842,-113.54291,-0.5106,-11.81611,22.04654,-33.46767,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,aa4bbf60-fbeb-11ec-9079-815998c05a4b,76.93856,,,6.44498,,,,,,,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:50:12.97,2022-07-04T18:50:12.9780880-04:00,2022-07-04T22:50:12.9780880Z,,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,744d3e2a-7ef6-4471-b64f-bf0e24cea3f8,54.85993,-114.48267,11.02327,5.592,0.916,-16.73384,2.17625,-1.97475,-5.90805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-04,18:50:31.61,2,6,"Perachi, Dominic",1000132360,Left,NEW_GUL,"McElroy, Jake",1000119818,Right,NSH_N,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.96534,-2.887392,3.277693,2184.737779,159.452057,11:15,5.69095,-1.68153,6.07732,-12.63052,20.96623,-7.45792,1.9601,0.7331,83.26152,-5.329441,1.93804,0.417177,85.91621,-36.720841,-86.268589,,,,,3.9032,2.46305,-58.386392,0.027623,4.7467,11.93339,1.43168,50,5.46028,-7.24157,-131.86675,-6.9801,8.37451,27.52161,-11.12021,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220704-CardinesField-1,b56f4f60-fbeb-11ec-9079-815998c05a4b,90.35123,2.08537,,7.70381,,,,1.86407,2.08537,-0.53428,3ee202ba-ceb3-47a7-b4b0-874a3e649191,2022-07-04,22:50:31.61,2022-07-04T18:50:31.6182672-04:00,2022-07-04T22:50:31.6182672Z,GroundBall,v3,,,,"Scanlon, Jack",1000051202,Right,NEW_GUL,0b06c894-5a89-48dc-b8c4-08b480bb8602,54.424,-132.78686,13.76081,5.68743,-6.60832,-5.56011,1.67846,-7.52154,4.18725,,1.86402,6.58652,,,,,,,,2.08605,-75.49499,,,,,,,,-0.53338,-100.9929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
