PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-10,17:04:12.17,1,1,"Adams, Matthew",1000079761,Right,UPP_VAL,"Dooley, Ty",1000116812,Left,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.18878,-3.359509,0.279389,2338.747691,203.087361,12:45,5.8409,1.19073,6.98453,-9.80197,24.41434,9.87422,1.96501,2.2677,80.4922,-5.355999,2.087827,0.421006,,,,,,,,,,,,-5.09496,14.36894,-1.21008,50,5.62889,-1.01063,-129.39703,-7.68776,-8.50768,30.8098,-8.1804,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,e1c3bdb0-00ac-11ed-867b-a7d6653239bc,89.5295,,,8.69658,,,,,,,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:04:12.17,2022-07-10T17:04:12.1707754-04:00,2022-07-10T21:04:12.1707754Z,,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,4d0bbed1-5f7a-4e3b-a028-e193f971ae5f,53.51583,-130.23147,15.4049,5.8341,-7.4662,-4.0902,-1.18582,-0.78022,-4.25384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-10,17:04:23.93,1,2,"Adams, Matthew",1000079761,Right,UPP_VAL,"Dooley, Ty",1000116812,Left,NSH_N,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.27547,-3.575769,-1.352183,2407.77655,207.629403,1:00,5.81916,1.13936,6.71559,-10.33075,23.3243,11.57953,1.6841,0.86791,81.71066,-5.650433,0.757755,0.417538,,,,,,,,,,,,-6.47213,13.71918,-1.05336,50,5.5768,2.63111,-130.91407,-8.33179,-11.10536,30.54745,-8.6337,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,e8ce6a10-00ac-11ed-867b-a7d6653239bc,90.273,,,8.56481,,,,,,,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:04:23.93,2022-07-10T17:04:23.9308522-04:00,2022-07-10T21:04:23.9308522Z,,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,8ad72365-c7f1-4e82-8e6e-f4f0190f0f43,53.78642,-131.79463,15.27372,5.81338,-8.08292,-4.31685,-1.13382,2.95123,-5.55268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-10,17:04:36.94,1,3,"Adams, Matthew",1000079761,Right,UPP_VAL,"Dooley, Ty",1000116812,Left,NSH_N,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.47513,-1.825861,-0.674694,2355.996624,203.57818,12:45,5.85827,0.99902,6.67726,-8.14843,25.41781,10.56489,3.50812,1.26213,81.5053,-3.51919,1.249138,0.416987,,,,,,,,,,,,-5.71166,14.23954,-0.95714,50,5.73149,1.11837,-131.35626,-4.24051,-9.83199,31.65804,-7.66219,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,f08534f0-00ac-11ed-867b-a7d6653239bc,90.39229,,,8.96983,,,,,,,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:04:36.94,2022-07-10T17:04:36.9408746-04:00,2022-07-10T21:04:36.9408746Z,,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,8176c1ca-0a26-4f0b-b37d-841cac2a06b4,53.82358,-132.27457,15.82902,5.85127,-4.01825,-3.83109,-0.99371,1.40356,-4.91599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-10,17:04:49.46,1,4,"Adams, Matthew",1000079761,Right,UPP_VAL,"Dooley, Ty",1000116812,Left,NSH_N,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.10635,-3.306744,-1.448093,2383.966833,204.817321,12:45,5.87933,0.95647,6.75091,-7.96016,26.15887,11.47524,2.19064,0.58949,80.54798,-4.983583,0.643707,0.420407,60.54759,45.446465,-67.160814,4017.942707,55.14334,39.74973,-95.17951,160.63586,94.33096,-59.183232,3.064282,-6.58181,15.37686,-0.86529,50,5.65823,2.85991,-130.60215,-7.60196,-11.08667,33.8502,-6.27258,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,f80ed550-00ac-11ed-867b-a7d6653239bc,89.65709,45.21182,,9.55837,,,,2.92756,2.16964,-0.41397,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:04:49.46,2022-07-10T17:04:49.4648042-04:00,2022-07-10T21:04:49.4648042Z,Popup,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,09680772-e83c-4a3b-a915-791073b5e6b6,53.75169,-131.57094,16.9251,5.87323,-7.42244,-3.13629,-0.95168,3.17721,-5.54333,,2.92761,24.18173,2.48262,-1.23558,0.30123,-0.00853,-0.02745,0.00987,-0.00116,2.16996,63.26779,-26.62142,2.91643,-0.26926,-0.16092,0.09343,-0.02169,0.00192,-0.41426,-57.40471,8.12138,-2.03899,0.08137,0.26065,-0.14869,0.03695,-0.00353,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2022-07-10,17:05:08.43,1,5,"Adams, Matthew",1000079761,Right,UPP_VAL,"Dooley, Ty",1000116812,Left,NSH_N,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.79714,-3.375356,-1.517516,2428.375746,204.266393,12:45,5.96215,0.82012,6.67017,-6.3326,26.41757,11.35953,2.34132,0.37789,82.58472,-4.733254,0.549722,0.411887,,,,,,,,,,,,-6.46221,15.35021,-0.72229,50,5.7321,3.07194,-133.09716,-7.85727,-11.39696,33.05068,-5.10196,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,0351fb40-00ad-11ed-867b-a7d6653239bc,91.51159,,,9.21242,,,,,,,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:05:08.43,2022-07-10T17:05:08.4330730-04:00,2022-07-10T21:05:08.4330730Z,,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,d5168950-219d-497a-94d5-93c9ebca672f,53.83265,-134.04551,16.52534,5.95545,-7.71088,-2.55098,-0.81513,3.39896,-5.69848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-10,17:05:23.94,1,6,"Adams, Matthew",1000079761,Right,UPP_VAL,"Dooley, Ty",1000116812,Left,NSH_N,Undefined,1,Top,0,2,2,Slider,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.49533,-1.690445,-2.877483,1965.003248,238.866313,2:00,5.64367,1.13146,6.74271,-27.17958,13.21485,19.42926,1.8317,0.11909,74.537,-6.874738,0.664946,0.457438,,,,,,,,,,,,-11.11654,7.96945,-0.948,50,5.5218,5.31426,-119.67403,-4.22684,-15.85713,26.63032,-20.80607,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,0c990310-00ad-11ed-867b-a7d6653239bc,82.39901,,,7.95833,,,,,,,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:05:23.94,2022-07-10T17:05:23.9470000-04:00,2022-07-10T21:05:23.9470000Z,,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,30e0149a-0c58-4c6d-8c34-8b4ea7e11f1b,53.75974,-120.50776,13.31516,5.64393,-3.57546,-10.40304,-1.12215,5.8107,-7.92856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.00784,2.770263,1.851904,0.918359,-0.76586,1.56374,-0.14724,2.11433,5.17036,-4.02989,69.7496,3.66252,-55.06103,2.1269,76.3806,-2.98466,5.20255,11.0704,-13.8643,-4.09371,-62.16192,7.22692,High,High,High,,,High,High,High
7,2022-07-10,17:05:51.75,2,1,"Adams, Matthew",1000079761,Right,UPP_VAL,"O'Brien, Brady",1000132331,Right,NSH_N,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.09108,-2.869419,-2.2972,2305.539669,200.622259,12:45,5.93084,0.92165,6.76675,-7.96823,25.31076,9.04359,2.64183,-0.42391,81.59512,-4.540859,-0.649409,0.415199,,,,,,,,,,,,-5.49414,14.62048,-0.77397,50,5.73859,4.92852,-132.00465,-6.65911,-9.49456,33.49805,-6.90794,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,1d1d8710-00ad-11ed-867b-a7d6653239bc,90.78159,,,9.49596,,,,,,,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:05:51.75,2022-07-10T17:05:51.7576426-04:00,2022-07-10T21:05:51.7576426Z,,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,9a1892b2-8c7a-4371-9dd5-60865fc0a869,53.73327,-132.94865,16.74903,5.9235,-6.46444,-3.45397,-0.91663,5.19608,-4.74728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-10,17:06:07.73,2,2,"Adams, Matthew",1000079761,Right,UPP_VAL,"O'Brien, Brady",1000132331,Right,NSH_N,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.79514,-3.835693,-2.470328,2307.716443,201.271944,12:45,5.90396,0.82706,6.6288,-9.89721,23.06856,8.4902,1.55824,-0.72896,82.43708,-5.840029,-0.927554,0.413241,,,,,,,,,,,,-5.2537,13.728,-0.66243,50,5.63853,5.38552,-132.87738,-9.05653,-9.21407,33.53256,-8.09754,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,26b43580-00ad-11ed-867b-a7d6653239bc,91.21185,,,9.35807,,,,,,,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:06:07.73,2022-07-10T17:06:07.7312234-04:00,2022-07-10T21:06:07.7312234Z,,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,e8172c5f-ec77-4829-906b-8e92050e54cd,53.87228,-133.85101,16.76628,5.89807,-8.82141,-4.04877,-0.82268,5.65305,-4.60703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-10,17:06:24.81,2,3,"Adams, Matthew",1000079761,Right,UPP_VAL,"O'Brien, Brady",1000132331,Right,NSH_N,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.41864,-1.17021,-1.082637,2308.469931,197.934717,12:30,5.94163,0.95341,6.59483,-9.91953,23.15592,7.10028,4.04238,0.55294,82.07226,-3.188009,0.208195,0.413928,,,,,,,,,,,,-4.02382,12.79698,-0.88165,50,5.85634,2.20851,-132.66778,-2.83657,-7.04567,33.02697,-9.76666,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,30d1c730-00ad-11ed-867b-a7d6653239bc,91.06048,,,9.34638,,,,,,,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:06:24.81,2022-07-10T17:06:24.8155370-04:00,2022-07-10T21:06:24.8155370Z,,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,b1987214-8b91-4013-8dd2-894b8a8027f7,53.90436,-133.63621,16.51348,5.93532,-2.55019,-4.88333,-0.94944,2.41511,-3.52284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-10,17:06:45.48,2,4,"Adams, Matthew",1000079761,Right,UPP_VAL,"O'Brien, Brady",1000132331,Right,NSH_N,Undefined,1,Top,1,1,2,Slider,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.98904,-3.263981,-2.713637,2014.094697,231.007205,1:45,5.57519,0.98134,6.72614,-25.89387,13.94009,15.47658,0.42743,-0.21113,75.49336,-8.175668,0.108522,0.454253,,,,,,,,,,,,-9.05272,8.80674,-0.80735,50,5.34883,5.16549,-120.32985,-7.52909,-13.1148,25.94496,-19.41564,UPP_VAL,NSH_N,MaxfieldSC,NECBL,NECL,20220710-MaxfieldSC-1,3d2e4c60-00ad-11ed-867b-a7d6653239bc,82.9767,,,7.49568,,,,,,,05fe51e2-fa30-4e6f-90e4-256fd1a8c315,2022-07-10,21:06:45.48,2022-07-10T17:06:45.4879978-04:00,2022-07-10T21:06:45.4879978Z,,v3,,,,"Stearns, Clay",1000113027,Right,UPP_VAL,c16171c1-d70e-4966-8446-b45679735192,53.77827,-121.14176,12.97248,5.57493,-6.92151,-9.70782,-0.97542,5.5759,-6.5574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
