PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-25,18:32:12.14,1,1,"Mosseau, Geoff",,Left,WIN_MUS,"McElroy, Jake",,Right,NSH_N,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.83355,-0.375932,1.479123,1689.700618,109.850708,9:45,6.06385,-2.44632,6.46515,-38.61549,7.05028,-15.05843,2.50048,-2.34233,70.6444,-7.624929,-1.256142,0.48637,,,,,,,,,,,,8.25874,4.3374,2.34758,50,6.02083,-2.38187,-113.01394,-1.80478,10.53033,23.30993,-26.64363,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,a0ce08b0-0c69-11ed-beb1-7f4d26ca3469,77.49745,,,7.18916,,,,,,,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:32:12.14,2022-07-25T18:32:12.1400000-04:00,2022-07-25T22:32:12.1400000Z,,v3,,,,"DeMattio, Zach",,Right,WIN_MUS,adaea974-9f87-4775-9b61-615595d40958,54.03141,-113.84241,11.65496,6.06814,-0.85782,-13.32181,2.43888,-2.75613,5.26517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-25,18:32:26.41,1,2,"Mosseau, Geoff",,Left,WIN_MUS,"McElroy, Jake",,Right,NSH_N,Undefined,1,Top,1,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.10012,-0.983993,3.092652,1666.396928,135.121024,10:30,6.02553,-2.5064,6.64189,-32.94494,13.18985,-11.54457,2.37797,-0.63468,70.1642,-7.21868,0.993221,0.488861,,,,,,,,,,,,7.01737,7.72638,2.30171,50,5.9457,-5.66132,-111.88629,-2.7435,8.80754,22.05008,-22.47664,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,a9626250-0c69-11ed-beb1-7f4d26ca3469,77.10251,,,6.93592,,,,,,,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:32:26.41,2022-07-25T18:32:26.4190000-04:00,2022-07-25T22:32:26.4190000Z,,v3,,,,"DeMattio, Zach",,Right,WIN_MUS,af0b0092-f8e7-4b80-b04d-8958b3a53d79,53.85584,-112.64362,11.02504,6.02667,-1.97152,-11.23832,2.50135,-5.96382,4.40377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.12222,2.71753,1.49673,1.220801,0.93123,2.31619,0.62635,-3.30269,6.37524,1.66962,68.87245,6.15374,-55.9188,-3.28651,61.71137,-2.1293,6.45793,18.26527,-15.14337,1.5932,-52.47935,4.38067,High,High,High,,,High,Medium,High
3,2022-07-25,18:32:52.58,2,1,"Mosseau, Geoff",,Left,WIN_MUS,"Cassella, Justin",,Right,NSH_N,Undefined,1,Top,2,0,0,Sinker,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.1325,-2.161963,2.832708,2142.438643,135.529387,10:30,6.26073,-2.39123,6.4833,-26.13131,13.42528,-11.94957,2.0947,-0.784,76.32999,-7.08347,0.665101,0.452669,,,,,,,,,,,,6.95091,8.01422,2.19644,50,6.09706,-5.52068,-120.6599,-5.27416,10.26412,23.11477,-20.3398,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,b8ebe480-0c69-11ed-beb1-7f4d26ca3469,83.26707,,,6.80252,,,,,,,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:32:52.58,2022-07-25T18:32:52.5860000-04:00,2022-07-25T22:32:52.5860000Z,,v3,,,,"DeMattio, Zach",,Right,WIN_MUS,38b900b6-5e2c-4a86-babd-8ccdd1154e0d,54.01383,-121.42639,11.55739,6.26077,-4.59969,-10.1699,2.38515,-5.86104,5.13206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-25,18:33:06.49,2,2,"Mosseau, Geoff",,Left,WIN_MUS,"Cassella, Justin",,Right,NSH_N,Undefined,1,Top,2,0,1,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.42412,-0.904135,2.227673,2079.524728,128.064897,10:15,6.1805,-2.50758,6.36139,-26.46793,12.60705,-14.6595,3.14206,-1.67805,77.0701,-5.870506,-0.426442,0.449905,,,,,,,,,,,,8.18823,7.15977,2.3527,50,6.10249,-4.1786,-121.31626,-2.66762,12.31663,21.66403,-21.40441,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,c1330880-0c69-11ed-beb1-7f4d26ca3469,83.77867,,,6.35402,,,,,,,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:33:06.49,2022-07-25T18:33:06.4940000-04:00,2022-07-25T22:33:06.4940000Z,,v3,,,,"DeMattio, Zach",,Right,WIN_MUS,787bb077-31e1-43c7-808d-91228c162804,54.13889,-122.05312,10.83202,6.18084,-1.93959,-10.70221,2.50196,-4.59752,6.15831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-07-25,18:33:19.86,2,3,"Mosseau, Geoff",,Left,WIN_MUS,"Cassella, Justin",,Right,NSH_N,Undefined,1,Top,2,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.17074,0.204956,1.117618,1431.574408,80.470224,8:45,5.97656,-2.3509,6.43272,-47.38802,-0.45724,-11.03068,2.21596,-2.24284,70.43136,-8.579383,-0.886309,0.49306,,,,,,,,,,,,6.06402,0.15445,2.27603,50,5.97011,-1.79465,-110.83436,-0.9316,7.56334,19.31081,-31.98142,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,c9377e30-0c69-11ed-beb1-7f4d26ca3469,76.44588,,,5.73938,,,,,,,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:33:19.86,2022-07-25T18:33:19.8690000-04:00,2022-07-25T22:33:19.8690000Z,,v3,,,,"DeMattio, Zach",,Right,WIN_MUS,60c50b0b-b9ad-47e9-a90b-77901061f332,54.06859,-111.54098,9.6554,5.98279,0.23866,-15.99071,2.34676,-2.07141,3.78167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-25,18:33:35.96,2,4,"Mosseau, Geoff",,Left,WIN_MUS,"Cassella, Justin",,Right,NSH_N,Undefined,1,Top,2,2,1,Sinker,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.65176,-2.896921,2.63913,2013.035437,123.23101,10:00,6.24902,-2.30756,6.37387,-28.43694,11.36233,-15.61355,1.20877,-1.17876,76.81824,-8.185167,-0.190086,0.454056,,,,,,,,,,,,8.84792,6.99886,2.12419,50,6.0262,-4.98392,-120.07411,-6.89436,13.0672,20.7262,-21.83763,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,d2c83930-0c69-11ed-beb1-7f4d26ca3469,83.01284,,,5.83352,,,,,,,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:33:35.96,2022-07-25T18:33:35.9600000-04:00,2022-07-25T22:33:35.9600000Z,,v3,,,,"DeMattio, Zach",,Right,WIN_MUS,81644e34-c8f0-4b64-a0e0-7c739e0aac2e,54.12809,-120.78456,10.3631,6.2497,-6.1458,-10.91881,2.30271,-5.43183,6.5336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-25,18:33:51.75,2,5,"Mosseau, Geoff",,Left,WIN_MUS,"Cassella, Justin",,Right,NSH_N,Undefined,1,Top,2,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.83977,1.381327,1.104909,1467.17772,92.622803,9:00,5.99902,-2.3692,6.33944,-45.73313,2.07996,-12.41453,3.46017,-2.38635,69.48145,-7.133388,-1.143564,0.497674,,,,,,,,,,,,6.73933,1.19299,2.29414,50,6.07849,-1.69775,-110.2244,1.36895,8.26723,20.11839,-30.71059,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,dc3d07c0-0c69-11ed-beb1-7f4d26ca3469,75.73723,,,6.35832,,,,,,,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:33:51.75,2022-07-25T18:33:51.7510000-04:00,2022-07-25T22:33:51.7510000Z,,v3,,,,"DeMattio, Zach",,Right,WIN_MUS,286a1d13-4f7f-44d6-b4a6-731141d005be,54.15999,-110.98109,10.0592,6.00528,2.52404,-15.3553,2.36384,-2.0087,4.13362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-25,18:34:11.97,2,6,"Mosseau, Geoff",,Left,WIN_MUS,"Cassella, Justin",,Right,NSH_N,Undefined,1,Top,2,3,2,Sinker,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.03326,-1.584291,4.352912,2126.880478,125.858836,10:15,6.22554,-2.29662,6.52412,-26.76316,12.47965,-15.72339,2.53718,0.39441,76.93495,-6.604129,1.506013,0.45087,,,,,,,,,,,,9.2976,7.28796,1.9997,50,6.10327,-8.61718,-120.53552,-4.07817,13.85488,20.59954,-21.31385,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,e83b6760-0c69-11ed-beb1-7f4d26ca3469,83.59933,,,6.09831,,,,,,,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:34:11.97,2022-07-25T18:34:11.9740000-04:00,2022-07-25T22:34:11.9740000Z,,v3,,,,"DeMattio, Zach",,Right,WIN_MUS,114819f6-937f-4698-b3ae-ee4a704307fc,53.97704,-121.21328,10.29977,6.22592,-3.3769,-10.65692,2.29073,-9.07304,6.92744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-25,18:37:00.50,1,1,"Marshall, Luke",,Right,NSH_N,"Abrams, Kohl",,Right,WIN_MUS,Undefined,1,Bottom,0,0,0,Fastball,Cutter,InPlay,Undefined,FlyBall,Out,1,0,,86.43165,-1.571003,-0.903412,2070.623066,212.448262,1:00,5.9888,-0.2364,6.21349,-20.92934,15.42068,9.18544,2.79429,-0.30475,80.34704,-5.497783,0.755778,0.433934,77.15645,53.378689,12.792563,,102.33068,118.44834,40.35352,199.48655,183.2279,24.804208,5.925041,-5.0141,8.69556,0.29945,50,5.86032,1.63874,-125.79694,-4.06119,-8.16357,21.6853,-18.01666,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,4cb5c140-0c6a-11ed-beb1-7f4d26ca3469,86.86216,119.79137,,6.0846,,,,1.7639,2.97814,0.37615,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:37:00.50,2022-07-25T18:37:00.5070000-04:00,2022-07-25T22:37:00.5070000Z,FlyBall,v3,,,,"Taylor, Charlie",,Right,NSH_N,41088a92-fccd-4168-b53e-af6d2f0c9fd3,54.28828,-126.53401,10.84265,5.98796,-3.44882,-9.00833,0.23903,1.91621,-4.08178,,1.73898,66.18913,-18.18635,5.51708,-1.36001,0.15954,0.01159,-0.00451,0.00029,2.95603,91.24007,-22.51193,4.00729,-1.96247,0.70058,-0.13806,0.01375,-0.00055,0.36917,15.10044,1.87058,-0.54636,-0.36604,0.26702,-0.06904,0.00812,-0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2022-07-25,18:37:35.25,2,1,"Marshall, Luke",,Right,NSH_N,"Concannon, Brendan",,Right,WIN_MUS,Undefined,1,Bottom,1,0,0,Fastball,Cutter,InPlay,Undefined,LineDrive,Single,0,0,,88.3079,-2.44578,-1.114365,2092.326224,211.922694,1:00,5.92071,-0.26323,6.26366,-17.90221,17.05139,10.00233,2.17204,-0.45728,81.72162,-5.829617,0.693979,0.425517,88.73519,8.065092,17.20896,2609.894677,102.50832,6.56321,39.89948,156.79009,149.8668,22.917444,1.399825,-5.49807,9.79422,0.34093,50,5.73046,2.11142,-128.40069,-5.98957,-9.28154,23.80015,-15.63999,WIN_MUS,NSH_N,RobbieMillsField,NECBL,NECL,20220725-RobbieMillsField-2,616e2af0-0c6a-11ed-beb1-7f4d26ca3469,88.58026,7.81851,,6.58627,,,,0.81347,2.10965,0.43496,599e5995-8954-4000-bba2-1a5fe59294d7,2022-07-25,22:37:35.25,2022-07-25T18:37:35.2520000-04:00,2022-07-25T22:37:35.2520000Z,GroundBall,v3,,,,"Taylor, Charlie",,Right,NSH_N,2116ac98-a28d-4421-84b6-99fb5efaf560,54.23739,-129.18373,11.90008,5.91906,-5.475,-7.81999,0.26644,2.41679,-4.64077,251.570466,0.81347,123.08916,-18.31376,3.32779,-0.58631,0.03348,0.03699,-0.01912,0.00337,2.10965,18.25861,-15.02723,0.73414,-0.12281,0.09774,-0.06822,0.02763,-0.00461,0.43497,38.12257,5.65831,-1.93852,0.42193,0.05734,-0.11457,0.0523,-0.00898,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
