PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-27,18:42:19.10,1,1,"Seitter, Kevin",1000079840,Right,NEW_GUL,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.50244,-2.536383,-2.130831,2040.72716,219.491696,1:15,5.66554,1.18237,6.40209,-16.19395,17.23158,13.33631,1.9804,0.33327,82.96556,-5.633961,0.284922,0.416112,,,,,,,,,,,,-7.51197,9.99552,-1.03515,50,5.47573,4.35261,-131.42494,-6.25507,-13.16787,27.27225,-14.65272,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,5f66e820-0dfd-11ed-9724-4b78dc4b9bf9,90.58238,,,7.53687,,,,,,,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:42:19.10,2022-07-27T18:42:19.1044950-04:00,2022-07-27T22:42:19.1044950Z,,v3,,,,"Burley, Jacob",1000078598,Right,NEW_GUL,46cf7276-aa10-4b49-b2fa-a737deaa0502,54.09888,-132.27277,13.63612,5.66311,-5.79955,-7.32636,-1.17682,4.76197,-6.58394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-27,18:42:34.12,1,2,"Seitter, Kevin",1000079840,Right,NEW_GUL,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.97338,-0.38186,-2.892127,1964.695966,205.721348,12:45,5.65645,1.27253,6.47431,-19.53966,14.1641,6.32445,3.67701,-0.85869,82.37572,-4.100342,-1.746726,0.41784,,,,,,,,,,,,-4.08666,7.83166,-1.07125,50,5.62064,6.35336,-130.70536,-1.42,-7.08547,26.96927,-18.59544,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,6871aa40-0dfd-11ed-9724-4b78dc4b9bf9,90.20774,,,7.59766,,,,,,,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:42:34.12,2022-07-27T18:42:34.1268310-04:00,2022-07-27T22:42:34.1268310Z,,v3,,,,"Burley, Jacob",1000078598,Right,NEW_GUL,9fde0332-8caa-47b4-a9b1-c4ec4e0530eb,54.02626,-131.5335,13.48464,5.65548,-0.84899,-9.29772,-1.26969,6.57093,-3.54273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-27,18:42:49.53,1,3,"Seitter, Kevin",1000079840,Right,NEW_GUL,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.41806,-3.6583,-2.701935,1785.681206,221.061028,1:15,5.65108,1.14858,6.39815,-16.31611,16.4743,13.46339,0.91858,-0.21625,84.03581,-6.761386,-0.264335,0.41214,,,,,,,,,,,,-7.7393,9.88737,-0.96037,50,5.38019,5.71662,-132.59532,-8.93491,-13.83778,27.20701,-14.49554,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,71934fc0-0dfd-11ed-9724-4b78dc4b9bf9,91.45539,,,7.38225,,,,,,,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:42:49.53,2022-07-27T18:42:49.5339350-04:00,2022-07-27T22:42:49.5339350Z,,v3,,,,"Burley, Jacob",1000078598,Right,NEW_GUL,5143ac9b-b337-4bb1-8eb9-16057840ab3f,54.10365,-133.43469,13.6035,5.64894,-8.48771,-7.24777,-1.14332,6.14353,-6.91889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-27,18:43:07.36,1,4,"Seitter, Kevin",1000079840,Right,NEW_GUL,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.94537,-2.770087,-2.766378,2028.558537,207.145475,1:00,5.68612,1.1916,6.42876,-11.46764,21.04285,10.24304,2.17939,-0.49951,83.87093,-5.021782,-0.912375,0.410377,107.82533,-9.258997,-13.190394,,,,,12.51519,10.60018,-8.826331,0.079275,-6.14575,12.11005,-0.99886,50,5.48297,6.03401,-133.40212,-6.71146,-11.05302,29.22864,-10.39439,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,7c3d1be0-0dfd-11ed-9724-4b78dc4b9bf9,91.84833,2.0192,,8.07444,,,,0.3077,2.0192,0.90602,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:43:07.36,2022-07-27T18:43:07.3611094-04:00,2022-07-27T22:43:07.3611094Z,GroundBall,v3,,,,"Burley, Jacob",1000078598,Right,NEW_GUL,4c196098-fd3b-4902-aaee-673319b3dabe,54.07255,-134.29146,14.61432,5.68237,-6.39519,-5.1972,-1.18758,6.37032,-5.52651,180,0.30573,152.11897,,,,,,,,2.01952,-25.47065,,,,,,,,0.90648,-35.65228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2022-07-27,18:43:38.03,2,1,"Seitter, Kevin",1000079840,Right,NEW_GUL,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.94623,-2.502264,-3.114618,1910.319022,206.884474,1:00,5.68818,1.37929,6.50577,-11.25178,21.05572,10.15678,2.44907,-0.63575,84.12607,-4.712348,-1.274555,0.409094,70.45237,43.237069,-6.710745,,107.8605,76.61553,-21.58844,226.50769,222.65314,-15.192801,4.646235,-6.16744,12.02418,-1.16554,50,5.50761,6.85544,-133.44328,-6.07638,-11.14134,28.21939,-10.45262,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,8e78ecd0-0dfd-11ed-9724-4b78dc4b9bf9,92.13637,78.28487,,7.82017,,,,0.71322,2.48993,0.64396,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:43:38.03,2022-07-27T18:43:38.0325206-04:00,2022-07-27T22:43:38.0325206Z,FlyBall,v3,,,,"Burley, Jacob",1000078598,Right,NEW_GUL,3622012e-6bf8-4813-97ea-e89a668c6310,53.99557,-134.28557,14.1097,5.68432,-5.7644,-5.22631,-1.37513,7.18799,-5.57067,159.802915,0.7156,74.70394,-14.36382,3.18877,-0.24391,-0.10328,0.03681,-0.00468,0.00022,2.48899,70.80354,-18.27711,1.11653,-0.17972,-0.00281,0.01439,-0.00326,0.00022,0.64424,-8.80529,-2.55762,0.69158,-0.07838,-0.01554,0.00763,-0.00113,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2022-07-27,18:44:11.83,3,1,"Seitter, Kevin",1000079840,Right,NEW_GUL,"Cassella, Justin",1000099697,Right,NSH_N,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.42502,-1.494641,-1.325578,1991.019943,206.499953,1:00,5.65674,1.46488,6.38234,-12.55087,20.40426,9.62627,3.23514,1.04737,83.09158,-3.95375,0.417626,0.413174,,,,,,,,,,,,-5.39894,11.39733,-1.37353,50,5.54289,2.67899,-132.8023,-3.74931,-9.5865,29.96491,-11.93671,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,a2a961d0-0dfd-11ed-9724-4b78dc4b9bf9,91.22651,,,8.33344,,,,,,,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:44:11.83,2022-07-27T18:44:11.8360918-04:00,2022-07-27T22:44:11.8360918Z,,v3,,,,"Burley, Jacob",1000078598,Right,NEW_GUL,e8e03fe5-b0e1-418e-a496-6998acd80fa9,54.1177,-133.72817,14.98245,5.65304,-3.38048,-5.96835,-1.46089,2.97519,-4.79325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-27,18:44:33.10,3,2,"Seitter, Kevin",1000079840,Right,NEW_GUL,"Cassella, Justin",1000099697,Right,NSH_N,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.79611,-2.93017,-2.528352,2188.88226,218.416957,1:15,5.58324,1.42821,6.30617,-15.62611,18.31477,13.53217,1.57653,0.22502,81.85588,-5.954626,-0.082616,0.419308,,,,,,,,,,,,-7.78406,10.79611,-1.24845,50,5.36018,5.23576,-131.51875,-7.13329,-13.42648,31.85262,-13.55213,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,af4ab830-0dfd-11ed-9724-4b78dc4b9bf9,89.89202,,,8.94023,,,,,,,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:44:33.10,2022-07-27T18:44:33.1045206-04:00,2022-07-27T22:44:33.1045206Z,,v3,,,,"Burley, Jacob",1000078598,Right,NEW_GUL,9e59cc44-e88e-4301-8a08-9aaeb411807e,54.19173,-132.53006,15.92631,5.57983,-6.70302,-6.77607,-1.42145,5.66204,-6.71324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-27,18:44:45.22,3,3,"Seitter, Kevin",1000079840,Right,NEW_GUL,"Cassella, Justin",1000099697,Right,NSH_N,Undefined,1,Top,2,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.50844,-2.118184,-2.764529,2142.602725,204.47568,12:45,5.70261,1.39241,6.33951,-15.25056,17.82477,7.60217,2.47833,-0.52138,83.10723,-5.060393,-1.390711,0.413927,,,,,,,,,,,,-4.74185,10.21229,-1.19427,50,5.54067,6.08806,-132.70666,-5.30563,-8.40117,30.12317,-14.08082,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,b686fbe0-0dfd-11ed-9724-4b78dc4b9bf9,91.06065,,,8.40121,,,,,,,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:44:45.22,2022-07-27T18:44:45.2255574-04:00,2022-07-27T22:44:45.2255574Z,,v3,,,,"Burley, Jacob",1000078598,Right,NEW_GUL,ac8018b2-65c0-47ee-90cf-7d89871b6445,54.15891,-133.64736,15.06159,5.69949,-4.86591,-7.04041,-1.38848,6.35042,-4.20059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-27,18:46:59.40,1,1,"Smith, Cooper",1000133459,Left,NSH_N,"Farquhar, Trent",1000078575,Left,NEW_GUL,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.03415,-2.780553,1.312362,1997.948455,158.27786,11:15,6.39501,-0.35069,5.3829,-15.01158,24.21572,-9.05178,2.53481,0.12543,77.30826,-5.683675,-0.296364,0.450781,79.35286,51.282921,-6.253794,,107.99662,104.77769,-20.89806,248.16373,247.80507,-15.24448,5.532855,4.98244,13.50513,0.23993,50,6.13625,-2.45536,-124.48397,-6.44645,7.67742,29.18723,-11.36406,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,068ab000-0dfe-11ed-9724-4b78dc4b9bf9,83.61587,112.69532,,8.72588,,,,2.04496,2.40301,-0.11617,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:46:59.40,2022-07-27T18:46:59.4015574-04:00,2022-07-27T22:46:59.4015574Z,FlyBall,v3,,,,"Taylor, Charlie",1000013865,Right,NSH_N,b6ee6ab7-b31d-4464-9e8d-acebd6a30825,55.11517,-125.67758,14.59362,6.39037,-5.98172,-5.68203,0.34676,-2.76932,3.83871,153.977321,2.06908,71.90125,-10.24505,-0.29105,1.77049,-0.87085,0.20131,-0.0226,0.00099,2.40426,90.76433,-22.00286,1.6428,0.05873,-0.18106,0.06233,-0.00905,0.00048,-0.10268,-8.14848,-2.33443,0.12984,0.37986,-0.16497,0.02635,-0.00127,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2022-07-27,18:47:38.74,2,1,"Smith, Cooper",1000133459,Left,NSH_N,"Freeman, Kolton",1000078998,Right,NEW_GUL,Undefined,1,Bottom,1,0,0,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,85.59193,-3.174942,1.027748,1966.818362,157.896736,11:15,6.34293,-0.24102,5.57415,-14.77658,25.12242,-9.51662,2.14242,-0.07398,75.95213,-6.077277,-0.669874,0.454624,79.73763,60.60078,15.604485,,,,,,137.27914,,,5.18492,14.33556,0.15891,50,6.0603,-1.80645,-123.6645,-7.20962,7.77307,31.98641,-10.68273,NEW_GUL,NSH_N,CardinesField,NECBL,NECL,20220727-CardinesField-1,1dfeb740-0dfe-11ed-9724-4b78dc4b9bf9,82.90903,111.2596,,9.63979,,,,0.36608,2.85235,0.01625,9c8a1ca0-860d-470e-a274-33f31d08e949,2022-07-27,22:47:38.74,2022-07-27T18:47:38.7491670-04:00,2022-07-27T22:47:38.7491670Z,,v3,,,,"Taylor, Charlie",1000013865,Right,NSH_N,716665ad-4dbd-48e3-8cf3-83764a256bc9,54.92165,-124.93102,15.99321,6.3374,-6.78663,-5.34136,0.23653,-2.11423,3.88653,193.221898,0.36608,55.293,-20.75442,5.84055,-1.36562,0.30827,-0.07198,0.01501,-0.00179,2.85235,101.8878,-19.33799,0.74242,0.14838,-0.10337,0.03151,-0.00603,0.00059,0.01625,15.44274,2.42557,-0.9481,0.27707,-0.0725,0.01735,-0.00332,0.00035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
