PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-30,19:08:30.39,1,1,"McCracken, James",1000072770,Left,MAR_VIN,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.36574,-2.513376,1.786208,1933.488127,140.831578,10:45,5.86426,-2.18221,6.02709,-19.31159,17.28147,-13.0867,1.92456,-1.61792,79.70063,-6.17246,-0.568666,0.435382,,,,,,,,,,,,7.22815,9.97745,2.04937,50,5.65693,-3.4153,-126.74404,-6.12038,11.7136,26.81123,-16.00503,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,87297470-105c-11ed-a285-f5d05c757a6c,86.57324,,,7.66511,,,,,,,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:08:30.39,2022-07-30T19:08:30.3933282-04:00,2022-07-30T23:08:30.3933282Z,,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,3baad327-08b7-48df-97bc-c7bee64c8cc7,54.47244,-127.68663,13.40562,5.86221,-5.5577,-8.00251,2.17668,-3.82711,5.8568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-30,19:08:45.98,1,2,"McCracken, James",1000072770,Left,MAR_VIN,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.58148,-1.818389,4.931031,2062.566583,141.030878,10:45,5.94573,-2.30311,5.85168,-16.9806,18.23639,-13.79123,2.83415,1.14097,81.44064,-5.052634,2.471223,0.427118,,,,,,,,,,,,8.57355,10.23764,1.90989,50,5.78765,-10.61248,-129.61217,-4.63391,14.52234,28.16811,-14.83292,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,906be860-105c-11ed-a285-f5d05c757a6c,88.24837,,,8.14084,,,,,,,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:08:45.98,2022-07-30T19:08:45.9873634-04:00,2022-07-30T23:08:45.9873634Z,,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,d9f10add-8b04-448a-971e-6cde9b241b09,54.65044,-130.61892,14.08406,5.9438,-4.10377,-7.41646,2.29846,-11.13152,7.26117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-30,19:09:00.54,1,3,"McCracken, James",1000072770,Left,MAR_VIN,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.78551,-2.279145,4.296248,2068.973442,130.883134,10:15,5.69078,-2.34582,6.05757,-19.26375,16.31485,-17.43993,1.96878,0.18503,80.70551,-5.936979,1.166857,0.429305,,,,,,,,,,,,10.23493,9.42827,2.02067,50,5.5028,-8.9351,-128.54254,-5.69239,17.03363,27.96584,-16.48293,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,991577b0-105c-11ed-a285-f5d05c757a6c,87.79879,,,8.08,,,,,,,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:09:00.54,2022-07-30T19:09:00.5446498-04:00,2022-07-30T23:09:00.5446498Z,,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,4077a63f-8581-4870-86c7-d27499686fb5,54.44294,-129.50555,13.98292,5.68905,-5.1248,-8.24146,2.33845,-9.52165,8.51681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-30,19:09:18.00,1,4,"McCracken, James",1000072770,Left,MAR_VIN,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.66988,-0.937706,3.474682,1667.742636,86.409791,9:00,5.09295,-2.8974,5.96635,-42.75573,0.26835,-18.00639,0.65884,-1.1722,73.9927,-8.803536,0.237212,0.472093,,,,,,,,,,,,10.35894,0.75146,2.63206,50,4.99431,-6.44632,-117.04792,-3.2709,14.30656,23.01531,-31.13622,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,a3880730-105c-11ed-a285-f5d05c757a6c,79.84118,,,6.67718,,,,,,,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:09:18.00,2022-07-30T19:09:18.0090722-04:00,2022-07-30T23:09:18.0090722Z,,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,e8ceaa1b-2a71-4f07-80dd-9c1688c90f69,54.5373,-117.93672,11.50765,5.09741,-2.06849,-15.56811,2.89167,-6.99881,7.15328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-07-30,19:09:46.93,2,1,"McCracken, James",1000072770,Left,MAR_VIN,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.90501,-2.670874,2.489071,1999.788863,135.49275,10:30,5.83252,-2.1964,6.1641,-19.08662,17.94899,-16.35934,1.77059,-1.25892,78.8194,-6.314064,-0.460693,0.438007,,,,,,,,,,,,9.28075,10.5067,2.01597,50,5.61995,-4.8342,-125.99374,-6.40653,14.75956,28.14239,-15.46483,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,b4cad220-105c-11ed-a285-f5d05c757a6c,86.05443,,,8.08561,,,,,,,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:09:46.93,2022-07-30T19:09:46.9390690-04:00,2022-07-30T23:09:46.9390690Z,,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,ac031d79-7632-48d3-8e82-0c736964ab85,54.33669,-126.9587,14.07119,5.83053,-5.87626,-7.73241,2.19041,-5.34028,7.37978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-07-30,19:09:58.48,2,2,"McCracken, James",1000072770,Left,MAR_VIN,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.88404,2.034238,1.64189,1796.122176,243.698339,2:00,5.60712,-2.57435,5.70379,-47.08522,4.73449,6.19347,3.58043,-0.5279,67.46832,-6.649642,2.748378,0.518106,,,,,,,,,,,,-2.64721,2.36047,2.43282,50,5.7489,-3.29854,-107.15562,2.38816,-3.06436,19.27724,-29.44159,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,bbad3600-105c-11ed-a285-f5d05c757a6c,72.7504,,,6.41572,,,,,,,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:09:58.48,2022-07-30T19:09:58.4844642-04:00,2022-07-30T23:09:58.4844642Z,,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,12a01e79-a8eb-4098-b240-c7dee1bb4181,54.79501,-108.01479,9.63862,5.61323,3.70035,-14.72079,2.57679,-3.16196,-1.53218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-30,19:10:18.42,2,3,"McCracken, James",1000072770,Left,MAR_VIN,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.09064,-1.044169,3.175945,2010.034413,144.555816,10:45,5.94881,-2.12473,6.1149,-15.09835,20.96304,-14.03119,3.72356,-0.35444,79.70123,-3.977458,0.652274,0.432208,,,,,,,,,,,,8.13382,11.45701,1.88777,50,5.86047,-6.49779,-127.70566,-2.69646,13.31815,28.38785,-13.41451,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,c7810330-105c-11ed-a285-f5d05c757a6c,87.20906,,,8.38941,,,,,,,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:10:18.42,2022-07-30T19:10:18.4214882-04:00,2022-07-30T23:10:18.4214882Z,,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,6b506079-f3de-46ad-830b-2e39ffdc2fa4,54.38313,-128.67631,14.19392,5.94483,-2.23778,-6.70725,2.11773,-6.95316,6.65908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-07-30,19:10:31.36,2,4,"McCracken, James",1000072770,Left,MAR_VIN,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.50028,-0.305191,3.592258,2097.603273,136.291233,10:30,6.06155,-2.15495,5.68463,-17.18544,18.3754,-16.37824,4.34439,-0.16695,80.82617,-3.589152,0.671741,0.429198,,,,,,,,,,,,9.29705,9.738,1.86207,50,6.02514,-7.39324,-129.60755,-1.19473,15.67673,29.28642,-15.75382,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,cf47d3a0-105c-11ed-a285-f5d05c757a6c,87.82066,,,8.67411,,,,,,,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:10:31.36,2022-07-30T19:10:31.3672546-04:00,2022-07-30T23:10:31.3672546Z,,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,d6859b77-f03a-45c9-9d65-f346fc4f4fde,54.8128,-130.69054,14.64321,6.05855,-0.61217,-7.87691,2.14618,-7.97295,7.83837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-30,19:10:46.29,2,5,"McCracken, James",1000072770,Left,MAR_VIN,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,2,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,89.44759,-1.818225,4.00605,2061.292004,139.223371,10:45,6.04024,-2.25053,5.8248,-14.69954,20.7284,-16.80584,3.12019,0.07944,80.94036,-4.658349,1.003337,0.428395,65.65812,58.257893,-152.911772,4873.141576,,,,,39.3651,,,9.77221,11.48111,1.93254,50,5.88266,-8.34238,-129.49049,-4.51354,16.45758,29.08996,-12.83848,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,d833c320-105c-11ed-a285-f5d05c757a6c,87.98529,50.62539,,8.50722,,,,0.2792,2.92848,-0.06094,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:10:46.29,2022-07-30T19:10:46.2924642-04:00,2022-07-30T23:10:46.2924642Z,,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,5ad29e9f-8b7f-4273-bd61-5439dc592248,54.67499,-130.5365,14.54498,6.03666,-4.05189,-6.41924,2.24315,-8.93416,8.22879,28.83929,0.2792,-45.10496,-0.46723,0.12847,-0.02855,0.00487,0.00125,-0.00203,0.00073,2.92848,81.89457,-31.53411,4.54804,-0.82178,0.09092,0.0578,-0.06714,0.02303,-0.06094,-23.06969,8.73304,-4.44549,1.385,-0.3732,0.07614,0.00163,-0.00558,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2022-07-30,19:11:04.52,2,6,"McCracken, James",1000072770,Left,MAR_VIN,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,79.89302,1.246813,4.145425,1559.706218,95.528461,9:15,5.14442,-2.8685,5.64502,-41.67231,2.92291,-14.78131,2.83802,-0.22656,72.67525,-6.425281,1.513012,0.480635,74.86221,-50.803058,44.360106,,,,,2.86529,1.32295,37.694921,0.033219,8.72827,1.53996,2.52574,50,5.22397,-7.80738,-115.68902,1.15712,11.76032,22.75597,-30.09915,MAR_VIN,NSH_N,SharkTank,NECBL,NECL,20220730-SharkTank-1,e3033fb0-105c-11ed-a285-f5d05c757a6c,78.42215,2.83694,,7.21777,,,,0.61318,2.83694,0.13448,d417623d-e20a-41b0-90ba-ce73a1b5151c,2022-07-30,23:11:04.52,2022-07-30T19:11:04.5299554-04:00,2022-07-30T23:11:04.5299554Z,GroundBall,v3,,,,"Maloney, Matthew",1000078039,Right,MAR_VIN,6d889d9e-22bd-4bdb-b5e0-9eb318f468d2,54.85624,-116.64033,11.37799,5.14929,2.41541,-15.04957,2.8624,-8.29902,5.88016,,0.61221,49.79282,,,,,,,,2.8386,-85.40158,,,,,,,,0.13353,48.69287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
