PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-07-31,18:35:03.92,1,1,"Zern, Jude",1000113949,Left,DAN_WES,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.0732,-2.862453,1.770962,1793.381706,152.043367,11:00,7.73029,-2.18443,6.62215,-18.09347,20.89985,-10.34127,3.59774,-1.4239,76.06078,-6.37251,-0.110488,0.449435,,,,,,,,,,,,5.94044,12.2765,2.06771,50,7.52789,-3.38055,-121.91322,-6.49262,8.82154,26.94259,-13.94348,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,059b4c10-1121-11ed-ade9-615b4f171bff,83.86634,,,8.01242,,,,,,,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:35:03.92,2022-07-31T18:35:03.9292256-04:00,2022-07-31T22:35:03.9292256Z,,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,eecf589c-248c-4aa5-bb50-bb4f4bf2459e,53.87409,-122.7664,13.4713,7.7265,-6.05108,-6.97174,2.17919,-3.6599,4.41077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-07-31,18:35:17.84,1,2,"Zern, Jude",1000113949,Left,DAN_WES,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.76239,2.110325,0.443296,1826.048021,296.735561,4:00,8.02169,-2.23243,6.15321,-71.02303,-5.20898,15.47253,4.05387,-0.53347,59.31367,-11.048127,3.239894,0.583889,,,,,,,,,,,,-7.70902,-2.5252,2.19169,50,8.14787,-1.23367,-95.3117,1.65901,-6.86874,18.93227,-34.42398,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,0df6e270-1121-11ed-ade9-615b4f171bff,64.55407,,,6.44872,,,,,,,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:35:17.84,2022-07-31T18:35:17.8494816-04:00,2022-07-31T22:35:17.8494816Z,,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,7331e8e6-943f-4a83-afc7-bf8c165f1da2,54.34505,-96.1709,9.46614,8.03713,3.22128,-17.21199,2.2406,-0.92194,-3.43437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-07-31,18:35:32.24,1,3,"Zern, Jude",1000113949,Left,DAN_WES,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.08465,-4.532767,2.030854,1848.166733,152.500068,11:00,7.99583,-2.06111,6.73377,-16.36678,23.89722,-11.60571,2.47856,-1.17165,74.60142,-7.748619,-0.084707,0.456699,,,,,,,,,,,,6.75839,14.58741,1.93076,50,7.6893,-3.83317,-120.163,-9.83083,9.65804,28.19355,-11.32798,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,167bf9d0-1121-11ed-ade9-615b4f171bff,82.53239,,,8.48323,,,,,,,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:35:32.24,2022-07-31T18:35:32.2477408-04:00,2022-07-31T22:35:32.2477408Z,,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,1a747317-9ed1-404e-bf17-dd22de63cb51,53.76143,-121.04232,14.09677,7.9904,-9.47752,-5.66399,2.05501,-4.13439,4.82902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-07-31,18:35:48.65,1,4,"Zern, Jude",1000113949,Left,DAN_WES,"Luders, Jon",1000134217,Right,NSH_N,Undefined,1,Top,0,1,2,Curveball,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,67.18027,0.568484,2.450188,1968.494828,307.14895,4:15,8.05036,-2.07634,6.12218,-71.28303,-7.81044,13.65957,2.63616,1.32851,60.72959,-12.54997,4.917498,0.573409,,,,,,,,,,,,-6.14433,-3.63122,1.88157,50,8.05742,-4.58754,-97.33531,-0.90023,-5.67262,20.63082,-35.52651,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,20575260-1121-11ed-ade9-615b4f171bff,65.73395,,,6.45068,,,,,,,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:35:48.65,2022-07-31T18:35:48.6599520-04:00,2022-07-31T22:35:48.6599520Z,,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,26d1f915-08d6-4248-a37b-49f517085b12,54.37871,-98.25902,10.31541,8.06212,0.69041,-17.76326,2.08128,-4.33356,-2.83631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-07-31,18:36:24.95,2,1,"Zern, Jude",1000113949,Left,DAN_WES,"Gustin, Jake",1000055212,Left,NSH_N,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,83.01799,-2.934045,2.967361,1898.307514,157.922323,11:15,8.02069,-2.19966,6.78409,-16.22367,23.85155,-9.04662,3.98418,-0.24212,74.55656,-6.139983,1.319146,0.455627,70.7135,72.662302,-5.58727,,,,,,29.57332,,,5.7702,14.0365,2.00943,50,7.82277,-5.90914,-120.24781,-6.46689,8.2722,27.85607,-12.05115,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,35fc8d10-1121-11ed-ade9-615b4f171bff,82.72655,106.39421,,8.46143,,,,0.23267,4.54925,0.34007,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:36:24.95,2022-07-31T18:36:24.9553760-04:00,2022-07-31T22:36:24.9553760Z,,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,3944a15e-6e52-4894-9a85-844840e81bde,53.71245,-121.10476,13.92804,8.01601,-6.09615,-6.02558,2.19513,-6.16363,4.1361,,0.23267,30.75994,-8.62067,1.37941,-0.27275,0.04064,-0.01013,0.00237,-0.0003,4.54925,99.00076,-21.11014,1.79072,-0.36245,0.06762,-0.01148,0.0024,-0.00031,0.34007,-3.00914,1.64002,-0.66307,0.17852,-0.04131,0.00973,-0.00244,0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2022-07-31,18:36:55.51,3,1,"Zern, Jude",1000113949,Left,DAN_WES,"Penney, Jack",1000112975,Left,NSH_N,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,65.34871,1.730677,0.174706,1857.427026,281.134512,3:15,7.96553,-2.18174,5.82421,-67.33575,0.11382,12.98544,3.96371,-0.93719,58.89441,-10.702851,2.506733,0.5911,,,,,,,,,,,,-6.46209,0.35579,2.1602,50,8.06884,-0.71881,-94.63454,1.05368,-5.68588,18.44276,-31.86098,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,48313210-1121-11ed-ade9-615b4f171bff,63.7666,,,6.4543,,,,,,,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:36:55.51,2022-07-31T18:36:55.5161440-04:00,2022-07-31T22:36:55.5161440Z,,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,84b725f3-7d94-49e6-9069-ee79ec77b050,54.67166,-95.54063,9.22138,7.97862,2.61902,-15.93049,2.18865,-0.43947,-2.84294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-07-31,18:37:11.69,3,2,"Zern, Jude",1000113949,Left,DAN_WES,"Penney, Jack",1000112975,Left,NSH_N,Undefined,1,Top,1,0,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Single,0,0,,82.8588,-2.395175,2.543065,1820.328106,150.73293,11:00,7.81998,-2.15731,6.69905,-20.92178,19.3258,-9.97725,3.88287,-0.66179,74.58776,-6.444926,0.72637,0.456606,95.59331,22.279573,25.813758,1534.102773,95.65718,39.11822,54.30967,344.30825,308.18051,36.220099,3.711331,6.11339,11.43823,1.99159,50,7.65198,-4.97893,-120.12075,-5.50451,8.75553,27.55988,-15.79237,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,51c8cae0-1121-11ed-ade9-615b4f171bff,82.5492,48.03855,,8.27104,,,,0.94988,3.74456,0.9344,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:37:11.69,2022-07-31T18:37:11.6917600-04:00,2022-07-31T22:37:11.6917600Z,LineDrive,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,bf76908e-baec-4d76-bb45-f35839978436,53.79842,-120.9891,13.77994,7.81758,-5.00693,-7.89618,2.15281,-5.2548,4.37777,,0.94946,116.8045,-20.80475,4.88037,-1.31226,0.41602,-0.11643,0.01937,-0.00131,3.74503,53.14007,-17.24955,0.70606,0.22151,-0.19965,0.07274,-0.01233,0.00079,0.93388,56.50926,1.05197,-1.06265,0.27795,-0.03445,-0.00038,0.00084,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
8,2022-07-31,18:37:50.69,4,1,"Zern, Jude",1000113949,Left,DAN_WES,"Bertsch, Connor",1000078996,Right,NSH_N,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.49528,2.094711,2.804735,1872.479386,319.926039,4:45,7.78315,-2.20082,6.38485,-70.20464,-6.38536,7.43886,3.86287,1.00123,60.08366,-10.940058,4.151716,0.574973,,,,,,,,,,,,-2.79689,-3.17992,1.99593,50,7.90418,-4.95186,-96.31821,1.73967,-2.54991,19.07163,-35.07318,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,691a5600-1121-11ed-ade9-615b4f171bff,65.55515,,,6.41162,,,,,,,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:37:50.69,2022-07-31T18:37:50.6919264-04:00,2022-07-31T22:37:50.6919264Z,,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,068c2325-7169-488b-bb31-d5c423884448,54.11343,-97.12928,9.53581,7.79848,3.23125,-17.53659,2.20422,-4.84342,-1.27496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-07-31,18:38:05.37,4,2,"Zern, Jude",1000113949,Left,DAN_WES,"Bertsch, Connor",1000078996,Right,NSH_N,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,66.00837,1.462626,0.664365,1835.510175,305.557451,4:15,7.86972,-2.32253,5.79124,-71.5987,-5.7454,11.51749,3.26418,-0.74468,59.95242,-11.669623,2.734025,0.584064,,,,,,,,,,,,-5.58618,-2.60232,2.26112,50,7.9484,-1.48811,-95.68843,0.47197,-5.0457,18.3147,-34.52459,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,71d52360-1121-11ed-ade9-615b4f171bff,64.53482,,,6.05595,,,,,,,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:38:05.37,2022-07-31T18:38:05.3769056-04:00,2022-07-31T22:38:05.3769056Z,,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,80c5c7c6-1f88-440e-b933-0b5b6d19c501,54.70826,-96.58538,9.15735,7.88388,2.16279,-17.26229,2.32794,-1.241,-2.52285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-07-31,18:38:21.97,4,3,"Zern, Jude",1000113949,Left,DAN_WES,"Bertsch, Connor",1000078996,Right,NSH_N,Undefined,1,Top,1,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.78987,-1.07242,0.947973,1739.628746,157.747632,11:15,7.91702,-2.35465,6.58521,-19.98241,19.26836,-7.30752,5.2688,-2.0948,75.64105,-4.940851,-0.380882,0.450916,,,,,,,,,,,,4.08268,10.83119,2.29213,50,7.8347,-1.73314,-121.63131,-2.73682,6.03013,26.98654,-16.17636,DAN_WES,NSH_N,RogersPark,NECBL,NECL,20220731-RogersPark-1,7ba83e90-1121-11ed-ade9-615b4f171bff,83.59084,,,8.14882,,,,,,,a5d89edd-cb66-4126-91f7-b4cdc780a6fd,2022-07-31,22:38:21.97,2022-07-31T18:38:21.9764576-04:00,2022-07-31T22:38:21.9764576Z,,v3,Westerners,,,"Skarad, Joey",1000079795,Right,DAN_WES,cdf51e5b-9396-47fd-a3d0-798914ce9e2d,53.90965,-122.49568,13.49327,7.91407,-2.2187,-8.08818,2.35073,-1.92629,3.01507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
